Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
200,15,3,0.99500,77,1.00000,1.00000,1.00000,1.00000,48.83387s,56,0.93407,0.94118,0.96970,0.95522,43.59468s,73,0.83117,0.81928,0.73913,0.77714,96.00270s
200,15,6,0.97500,67,1.00000,1.00000,1.00000,1.00000,82.93100s,22,0.86813,0.87500,0.95455,0.91304,46.19157s,38,0.82684,0.81707,0.72826,0.77011,136.99343s
200,15,6,0.98500,70,1.00000,1.00000,1.00000,1.00000,83.31463s,43,0.93407,0.92857,0.98485,0.95588,58.24402s,62,0.83117,0.81176,0.75000,0.77966,153.47509s
200,15,6,0.99500,78,1.00000,1.00000,1.00000,1.00000,85.64987s,58,0.93407,0.94118,0.96970,0.95522,75.52342s,73,0.83117,0.81928,0.73913,0.77714,156.85936s
200,15,9,0.97500,67,1.00000,1.00000,1.00000,1.00000,146.25712s,19,0.89011,0.88889,0.96970,0.92754,98.52805s,38,0.82684,0.81707,0.72826,0.77011,243.48532s
200,15,9,0.98500,69,1.00000,1.00000,1.00000,1.00000,145.27974s,40,0.93407,0.92857,0.98485,0.95588,110.51550s,62,0.83117,0.81176,0.75000,0.77966,261.64514s
200,15,9,0.99500,77,1.00000,1.00000,1.00000,1.00000,150.11073s,59,0.93407,0.94118,0.96970,0.95522,131.22056s,73,0.83117,0.81928,0.73913,0.77714,263.55755s
200,15,12,0.97500,67,1.00000,1.00000,1.00000,1.00000,237.57200s,22,0.87912,0.87671,0.96970,0.92086,178.52804s,39,0.83117,0.81928,0.73913,0.77714,402.45848s
200,15,12,0.98500,70,1.00000,1.00000,1.00000,1.00000,239.63581s,38,0.93407,0.92857,0.98485,0.95588,190.82141s,63,0.83117,0.81176,0.75000,0.77966,420.64031s
200,15,12,0.99500,78,1.00000,1.00000,1.00000,1.00000,241.99692s,57,0.93407,0.94118,0.96970,0.95522,207.75959s,73,0.83117,0.81928,0.73913,0.77714,421.10883s
200,15,15,0.97500,68,1.00000,1.00000,1.00000,1.00000,357.24080s,21,0.86813,0.87500,0.95455,0.91304,281.80118s,38,0.82684,0.81707,0.72826,0.77011,603.19712s
200,15,15,0.98500,70,1.00000,1.00000,1.00000,1.00000,361.78180s,38,0.93407,0.92857,0.98485,0.95588,295.97044s,61,0.83117,0.81176,0.75000,0.77966,625.02684s
200,15,15,0.99500,78,1.00000,1.00000,1.00000,1.00000,350.17362s,58,0.93407,0.94118,0.96970,0.95522,313.07345s,72,0.83117,0.81928,0.73913,0.77714,621.99558s
200,15,18,0.97500,67,1.00000,1.00000,1.00000,1.00000,496.66809s,20,0.86813,0.87500,0.95455,0.91304,401.28426s,45,0.83117,0.82716,0.72826,0.77457,846.62248s
200,15,18,0.98500,70,1.00000,1.00000,1.00000,1.00000,505.05605s,39,0.93407,0.92857,0.98485,0.95588,418.47170s,60,0.83117,0.81176,0.75000,0.77966,866.04720s
200,15,18,0.99500,78,1.00000,1.00000,1.00000,1.00000,503.00912s,58,0.93407,0.94118,0.96970,0.95522,432.82785s,73,0.83983,0.83951,0.73913,0.78613,865.66694s
200,20,3,0.97500,65,1.00000,1.00000,1.00000,1.00000,56.58873s,25,0.91209,0.91429,0.96970,0.94118,21.16160s,39,0.82684,0.81707,0.72826,0.77011,101.19764s
200,20,3,0.98500,69,1.00000,1.00000,1.00000,1.00000,57.79233s,43,0.93407,0.92857,0.98485,0.95588,39.74675s,68,0.83117,0.81176,0.75000,0.77966,119.41061s
200,20,3,0.99500,77,1.00000,1.00000,1.00000,1.00000,58.82992s,57,0.93407,0.94118,0.96970,0.95522,54.45828s,73,0.83117,0.81928,0.73913,0.77714,122.13623s
200,20,6,0.97500,67,1.00000,1.00000,1.00000,1.00000,106.62595s,22,0.86813,0.87500,0.95455,0.91304,62.78485s,38,0.82684,0.81707,0.72826,0.77011,185.80563s
200,20,6,0.98500,70,1.00000,1.00000,1.00000,1.00000,106.93180s,43,0.93407,0.92857,0.98485,0.95588,80.11035s,62,0.83117,0.81176,0.75000,0.77966,203.04064s
200,20,6,0.99500,78,1.00000,1.00000,1.00000,1.00000,108.86406s,58,0.93407,0.94118,0.96970,0.95522,96.99122s,73,0.83117,0.81928,0.73913,0.77714,204.94148s
200,20,9,0.97500,67,1.00000,1.00000,1.00000,1.00000,192.01289s,19,0.89011,0.88889,0.96970,0.92754,134.86870s,38,0.82684,0.81707,0.72826,0.77011,332.38491s
200,20,9,0.98500,69,1.00000,1.00000,1.00000,1.00000,194.17667s,40,0.93407,0.92857,0.98485,0.95588,152.02482s,62,0.83117,0.81176,0.75000,0.77966,351.27128s
200,20,9,0.99500,77,1.00000,1.00000,1.00000,1.00000,194.66305s,59,0.93407,0.94118,0.96970,0.95522,171.37489s,73,0.83117,0.81928,0.73913,0.77714,354.29522s
200,20,12,0.97500,67,1.00000,1.00000,1.00000,1.00000,314.84231s,22,0.87912,0.87671,0.96970,0.92086,240.68106s,39,0.83117,0.81928,0.73913,0.77714,544.22168s
200,20,12,0.98500,70,1.00000,1.00000,1.00000,1.00000,315.26698s,38,0.93407,0.92857,0.98485,0.95588,256.42862s,62,0.83117,0.81176,0.75000,0.77966,557.14230s
200,20,12,0.99500,78,1.00000,1.00000,1.00000,1.00000,317.50253s,57,0.93407,0.94118,0.96970,0.95522,276.43647s,73,0.83117,0.81928,0.73913,0.77714,563.05161s
200,20,15,0.97500,68,1.00000,1.00000,1.00000,1.00000,475.09691s,21,0.86813,0.87500,0.95455,0.91304,379.83722s,38,0.82684,0.81707,0.72826,0.77011,818.18825s
200,20,15,0.98500,70,1.00000,1.00000,1.00000,1.00000,478.17605s,38,0.93407,0.92857,0.98485,0.95588,397.27326s,60,0.83117,0.81176,0.75000,0.77966,835.55127s
200,20,15,0.99500,78,1.00000,1.00000,1.00000,1.00000,477.89146s,58,0.93407,0.94118,0.96970,0.95522,413.60148s,72,0.83117,0.81928,0.73913,0.77714,835.97830s
200,20,18,0.97500,67,1.00000,1.00000,1.00000,1.00000,675.02045s,20,0.86813,0.87500,0.95455,0.91304,550.58418s,45,0.83117,0.82716,0.72826,0.77457,1162.01292s
200,20,18,0.98500,70,1.00000,1.00000,1.00000,1.00000,676.41222s,39,0.93407,0.92857,0.98485,0.95588,570.20476s,60,0.83117,0.81176,0.75000,0.77966,1169.46708s
200,20,18,0.99500,78,1.00000,1.00000,1.00000,1.00000,679.16434s,58,0.93407,0.94118,0.96970,0.95522,591.31275s,73,0.83983,0.83951,0.73913,0.78613,1174.69685s
