Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
200,10,18,0.97000,108,1.00000,1.00000,1.00000,1.00000,744.79681s,18,0.90110,0.89041,0.98485,0.93525,585.67816s,84,0.87879,0.94444,0.73913,0.82927,1253.83818s
200,10,18,0.98000,124,1.00000,1.00000,1.00000,1.00000,771.67168s,39,0.93407,0.91667,1.00000,0.95652,611.16659s,91,0.87446,0.95652,0.71739,0.81988,1267.91575s
200,10,18,0.99000,146,1.00000,1.00000,1.00000,1.00000,766.99417s,75,0.94505,0.92958,1.00000,0.96350,636.59761s,111,0.89610,0.93590,0.79348,0.85882,1267.27589s
200,15,3,0.97000,107,1.00000,1.00000,1.00000,1.00000,110.90489s,18,0.90110,0.89041,0.98485,0.93525,34.80926s,89,0.89177,0.95890,0.76087,0.84848,216.14467s
200,15,3,0.98000,123,1.00000,1.00000,1.00000,1.00000,122.55960s,40,0.93407,0.91667,1.00000,0.95652,52.37435s,94,0.86580,0.95522,0.69565,0.80503,223.46389s
200,15,3,0.99000,145,1.00000,1.00000,1.00000,1.00000,134.05266s,77,0.94505,0.92958,1.00000,0.96350,95.74483s,112,0.89610,0.93590,0.79348,0.85882,236.41094s
200,15,6,0.97000,108,1.00000,1.00000,1.00000,1.00000,195.11747s,18,0.90110,0.89041,0.98485,0.93525,105.68084s,94,0.87879,0.94444,0.73913,0.82927,360.45632s
200,15,6,0.98000,123,1.00000,1.00000,1.00000,1.00000,208.17419s,39,0.93407,0.91667,1.00000,0.95652,125.10654s,92,0.86580,0.95522,0.69565,0.80503,361.05562s
200,15,6,0.99000,146,1.00000,1.00000,1.00000,1.00000,216.17736s,75,0.94505,0.92958,1.00000,0.96350,166.87399s,111,0.89610,0.93590,0.79348,0.85882,373.91567s
200,15,9,0.97000,107,1.00000,1.00000,1.00000,1.00000,338.20466s,18,0.90110,0.89041,0.98485,0.93525,227.73358s,91,0.88312,0.95775,0.73913,0.83436,597.23414s
200,15,9,0.98000,123,1.00000,1.00000,1.00000,1.00000,352.84971s,39,0.93407,0.91667,1.00000,0.95652,248.85377s,92,0.86580,0.95522,0.69565,0.80503,602.83213s
200,15,9,0.99000,146,1.00000,1.00000,1.00000,1.00000,367.94374s,75,0.94505,0.92958,1.00000,0.96350,296.22265s,111,0.89610,0.93590,0.79348,0.85882,622.38127s
200,15,12,0.97000,107,1.00000,1.00000,1.00000,1.00000,554.19759s,18,0.90110,0.89041,0.98485,0.93525,410.77660s,83,0.87879,0.94444,0.73913,0.82927,947.17598s
200,15,12,0.98000,123,1.00000,1.00000,1.00000,1.00000,562.66208s,39,0.93407,0.91667,1.00000,0.95652,427.79207s,92,0.86580,0.95522,0.69565,0.80503,949.56383s
200,15,12,0.99000,147,1.00000,1.00000,1.00000,1.00000,573.42766s,75,0.94505,0.92958,1.00000,0.96350,472.69910s,111,0.89610,0.93590,0.79348,0.85882,962.98401s
200,15,15,0.97000,107,1.00000,1.00000,1.00000,1.00000,822.27555s,18,0.90110,0.89041,0.98485,0.93525,639.52127s,97,0.87446,0.97015,0.70652,0.81761,1400.05475s
200,15,15,0.98000,123,1.00000,1.00000,1.00000,1.00000,833.57171s,39,0.93407,0.91667,1.00000,0.95652,662.01542s,92,0.86580,0.95522,0.69565,0.80503,1397.66560s
