Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97000,47,0.98795,1.00000,0.94737,0.97297,5.60454s,12,0.84615,0.85135,0.95455,0.90000,3.31440s,31,0.79654,0.80822,0.64130,0.71515,10.15594s
100,10,3,0.98000,51,0.98795,1.00000,0.94737,0.97297,18.29443s,20,0.91209,0.92647,0.95455,0.94030,3.83069s,46,0.80952,0.80769,0.68478,0.74118,12.75150s
100,10,3,0.99000,54,0.98795,1.00000,0.94737,0.97297,18.79326s,51,0.95604,0.94286,1.00000,0.97059,17.47377s,46,0.80519,0.79747,0.68478,0.73684,12.62619s
100,10,6,0.97000,47,0.98795,1.00000,0.94737,0.97297,14.59330s,12,0.84615,0.85135,0.95455,0.90000,12.13327s,34,0.80087,0.80263,0.66304,0.72619,25.23075s
100,10,6,0.98000,50,0.98795,1.00000,0.94737,0.97297,14.63090s,22,0.93407,0.92857,0.98485,0.95588,12.25408s,44,0.81818,0.82895,0.68478,0.75000,26.80564s
100,10,6,0.99000,53,0.98795,1.00000,0.94737,0.97297,27.05166s,47,0.95604,0.94286,1.00000,0.97059,13.48994s,45,0.80519,0.79747,0.68478,0.73684,26.90505s
100,10,9,0.97000,47,0.98795,1.00000,0.94737,0.97297,29.49773s,12,0.84615,0.85135,0.95455,0.90000,27.01536s,33,0.80087,0.78750,0.68478,0.73256,50.64078s
100,10,9,0.98000,50,0.98795,1.00000,0.94737,0.97297,30.34825s,22,0.93407,0.92857,0.98485,0.95588,27.84964s,45,0.80519,0.82192,0.65217,0.72727,53.10501s
100,10,9,0.99000,53,0.98795,1.00000,0.94737,0.97297,43.04303s,53,0.96703,0.95652,1.00000,0.97778,42.59995s,46,0.80519,0.79747,0.68478,0.73684,52.62662s
100,10,12,0.97000,47,0.98795,1.00000,0.94737,0.97297,51.87019s,12,0.84615,0.85135,0.95455,0.90000,49.18199s,33,0.80087,0.78750,0.68478,0.73256,86.63774s
100,10,12,0.98000,49,0.98795,1.00000,0.94737,0.97297,52.37215s,22,0.93407,0.92857,0.98485,0.95588,49.19820s,44,0.81818,0.82895,0.68478,0.75000,88.30084s
100,10,12,0.99000,53,0.98795,1.00000,0.94737,0.97297,65.27197s,47,0.96703,0.95652,1.00000,0.97778,48.99174s,46,0.80519,0.79747,0.68478,0.73684,88.32510s
100,10,15,0.97000,47,0.98795,1.00000,0.94737,0.97297,81.24661s,12,0.84615,0.85135,0.95455,0.90000,77.68723s,33,0.80087,0.78750,0.68478,0.73256,133.73340s
100,10,15,0.98000,49,0.98795,1.00000,0.94737,0.97297,81.03666s,22,0.93407,0.92857,0.98485,0.95588,77.24222s,45,0.80519,0.79747,0.68478,0.73684,134.38010s
100,10,15,0.99000,53,0.98795,1.00000,0.94737,0.97297,93.99888s,52,0.97802,0.97059,1.00000,0.98507,89.30891s,46,0.80519,0.79747,0.68478,0.73684,135.16608s
100,10,18,0.97000,46,0.98795,1.00000,0.94737,0.97297,115.79839s,12,0.84615,0.85135,0.95455,0.90000,111.32332s,32,0.80519,0.79012,0.69565,0.73988,190.03883s
100,10,18,0.98000,49,0.98795,1.00000,0.94737,0.97297,117.54002s,22,0.93407,0.92857,0.98485,0.95588,112.40654s,46,0.80952,0.81579,0.67391,0.73810,193.08758s
