Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97000,30,0.96386,0.94444,0.89474,0.91892,2.46583s,8,0.84615,0.84211,0.96970,0.90141,1.42912s,14,0.73160,0.67442,0.63043,0.65169,3.06708s
100,10,3,0.98000,31,0.96386,0.94444,0.89474,0.91892,2.50661s,10,0.84615,0.84211,0.96970,0.90141,1.49084s,18,0.73160,0.65957,0.67391,0.66667,4.92291s
100,10,3,0.99000,32,0.96386,0.94444,0.89474,0.91892,2.38646s,19,0.91209,0.91429,0.96970,0.94118,2.13312s,27,0.76623,0.73171,0.65217,0.68966,5.13891s
100,10,6,0.97000,31,0.96386,0.94444,0.89474,0.91892,6.80061s,8,0.84615,0.84211,0.96970,0.90141,4.91803s,15,0.73593,0.67416,0.65217,0.66298,9.82351s
100,10,6,0.98000,33,0.96386,0.94444,0.89474,0.91892,6.80248s,10,0.84615,0.84211,0.96970,0.90141,4.87483s,22,0.75325,0.70115,0.66304,0.68156,11.40800s
100,10,6,0.99000,33,0.96386,0.94444,0.89474,0.91892,6.96188s,20,0.91209,0.91429,0.96970,0.94118,5.35299s,25,0.75758,0.72500,0.63043,0.67442,11.58541s
100,10,9,0.97000,30,0.96386,0.94444,0.89474,0.91892,14.10924s,8,0.84615,0.84211,0.96970,0.90141,10.89064s,15,0.73593,0.67416,0.65217,0.66298,20.67233s
100,10,9,0.98000,31,0.96386,0.94444,0.89474,0.91892,13.96507s,10,0.84615,0.84211,0.96970,0.90141,11.02209s,22,0.75325,0.70115,0.66304,0.68156,22.91664s
100,10,9,0.99000,32,0.96386,0.94444,0.89474,0.91892,13.98724s,20,0.91209,0.91429,0.96970,0.94118,11.20730s,25,0.75758,0.72500,0.63043,0.67442,22.97422s
100,10,12,0.97000,30,0.96386,0.94444,0.89474,0.91892,24.63028s,8,0.84615,0.84211,0.96970,0.90141,19.62231s,15,0.73593,0.67416,0.65217,0.66298,38.33398s
100,10,12,0.98000,31,0.96386,0.94444,0.89474,0.91892,24.85795s,10,0.84615,0.84211,0.96970,0.90141,19.72013s,23,0.74026,0.68182,0.65217,0.66667,39.49535s
100,10,12,0.99000,32,0.96386,0.94444,0.89474,0.91892,24.89899s,19,0.91209,0.91429,0.96970,0.94118,19.93100s,26,0.75758,0.72500,0.63043,0.67442,39.39336s
100,10,15,0.97000,30,0.96386,0.94444,0.89474,0.91892,38.42867s,8,0.84615,0.84211,0.96970,0.90141,31.22820s,15,0.73593,0.67416,0.65217,0.66298,60.34871s
100,10,15,0.98000,31,0.96386,0.94444,0.89474,0.91892,38.26916s,10,0.84615,0.84211,0.96970,0.90141,31.20281s,24,0.74026,0.68182,0.65217,0.66667,60.40209s
100,10,15,0.99000,32,0.96386,0.94444,0.89474,0.91892,38.93145s,20,0.91209,0.91429,0.96970,0.94118,30.91806s,26,0.75758,0.72500,0.63043,0.67442,60.67300s
100,10,18,0.97000,30,0.96386,0.94444,0.89474,0.91892,55.77956s,8,0.84615,0.84211,0.96970,0.90141,44.61158s,15,0.73593,0.67416,0.65217,0.66298,86.97118s
100,10,18,0.98000,31,0.96386,0.94444,0.89474,0.91892,56.15729s,10,0.84615,0.84211,0.96970,0.90141,45.29732s,23,0.74459,0.68966,0.65217,0.67039,86.72250s
100,10,18,0.99000,32,0.96386,0.94444,0.89474,0.91892,55.55866s,20,0.91209,0.91429,0.96970,0.94118,43.98648s,26,0.75758,0.72500,0.63043,0.67442,85.94951s
100,15,3,0.97000,30,0.96386,0.94444,0.89474,0.91892,3.84196s,8,0.84615,0.84211,0.96970,0.90141,2.23840s,14,0.73160,0.67442,0.63043,0.65169,4.87827s
100,15,3,0.98000,31,0.96386,0.94444,0.89474,0.91892,3.75434s,10,0.84615,0.84211,0.96970,0.90141,2.33093s,18,0.73160,0.65957,0.67391,0.66667,7.64781s
100,15,3,0.99000,32,0.96386,0.94444,0.89474,0.91892,3.89847s,19,0.91209,0.91429,0.96970,0.94118,3.44005s,27,0.76623,0.73171,0.65217,0.68966,7.87464s
100,15,6,0.97000,31,0.96386,0.94444,0.89474,0.91892,10.33117s,8,0.84615,0.84211,0.96970,0.90141,7.54917s,15,0.73593,0.67416,0.65217,0.66298,15.26887s
100,15,6,0.98000,33,0.96386,0.94444,0.89474,0.91892,10.59618s,10,0.84615,0.84211,0.96970,0.90141,7.78910s,22,0.75325,0.70115,0.66304,0.68156,17.83266s
100,15,6,0.99000,33,0.96386,0.94444,0.89474,0.91892,10.59958s,20,0.91209,0.91429,0.96970,0.94118,8.70734s,25,0.75758,0.72500,0.63043,0.67442,18.09714s
100,15,9,0.97000,30,0.96386,0.94444,0.89474,0.91892,21.90531s,8,0.84615,0.84211,0.96970,0.90141,17.17329s,15,0.73593,0.67416,0.65217,0.66298,33.78586s
100,15,9,0.98000,31,0.96386,0.94444,0.89474,0.91892,21.74210s,10,0.84615,0.84211,0.96970,0.90141,17.45986s,22,0.75325,0.70115,0.66304,0.68156,35.82347s
100,15,9,0.99000,32,0.96386,0.94444,0.89474,0.91892,22.09945s,20,0.91209,0.91429,0.96970,0.94118,17.92080s,25,0.75758,0.72500,0.63043,0.67442,35.87147s
100,15,12,0.97000,30,0.96386,0.94444,0.89474,0.91892,38.59520s,8,0.84615,0.84211,0.96970,0.90141,30.47847s,15,0.73593,0.67416,0.65217,0.66298,59.66873s
100,15,12,0.98000,31,0.96386,0.94444,0.89474,0.91892,38.90443s,10,0.84615,0.84211,0.96970,0.90141,31.18413s,23,0.74026,0.68182,0.65217,0.66667,61.25745s
100,15,12,0.99000,32,0.96386,0.94444,0.89474,0.91892,39.03019s,19,0.91209,0.91429,0.96970,0.94118,31.18738s,26,0.75758,0.72500,0.63043,0.67442,61.58931s
100,15,15,0.97000,30,0.96386,0.94444,0.89474,0.91892,60.17263s,8,0.84615,0.84211,0.96970,0.90141,48.96267s,15,0.73593,0.67416,0.65217,0.66298,94.18862s
100,15,15,0.98000,31,0.96386,0.94444,0.89474,0.91892,60.29657s,10,0.84615,0.84211,0.96970,0.90141,48.49581s,24,0.74026,0.68182,0.65217,0.66667,94.31588s
100,15,15,0.99000,32,0.96386,0.94444,0.89474,0.91892,60.81403s,20,0.91209,0.91429,0.96970,0.94118,48.45129s,26,0.75758,0.72500,0.63043,0.67442,94.67326s
100,15,18,0.97000,30,0.96386,0.94444,0.89474,0.91892,87.48682s,8,0.84615,0.84211,0.96970,0.90141,71.32074s,15,0.73593,0.67416,0.65217,0.66298,136.76007s
