Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.97500,61,0.98795,1.00000,0.94737,0.97297,23.83564s,15,0.83516,0.84000,0.95455,0.89362,4.77961s,52,0.83117,0.86301,0.68478,0.76364,30.00060s
100,10,3,0.98500,63,0.98795,1.00000,0.94737,0.97297,22.52858s,28,0.94505,0.92958,1.00000,0.96350,6.76184s,56,0.81818,0.81250,0.70652,0.75581,31.82604s
100,10,3,0.99500,72,0.98795,1.00000,0.94737,0.97297,25.34480s,48,0.94505,0.95522,0.96970,0.96241,8.33915s,72,0.83550,0.83750,0.72826,0.77907,36.22391s
100,10,6,0.97500,59,0.98795,1.00000,0.94737,0.97297,33.21898s,15,0.83516,0.84000,0.95455,0.89362,14.88387s,55,0.82251,0.86957,0.65217,0.74534,50.44437s
100,10,6,0.98500,60,0.98795,1.00000,0.94737,0.97297,34.97530s,29,0.94505,0.92958,1.00000,0.96350,17.06110s,53,0.81818,0.81250,0.70652,0.75581,37.23558s
100,10,6,0.99500,71,0.98795,1.00000,0.94737,0.97297,37.29686s,47,0.93407,0.94118,0.96970,0.95522,17.78203s,72,0.83550,0.83750,0.72826,0.77907,54.48622s
100,10,9,0.97500,59,0.98795,1.00000,0.94737,0.97297,53.69405s,15,0.83516,0.84000,0.95455,0.89362,32.40413s,52,0.82251,0.88060,0.64130,0.74214,85.17647s
100,10,9,0.98500,60,0.98795,1.00000,0.94737,0.97297,52.92999s,29,0.94505,0.92958,1.00000,0.96350,34.39171s,53,0.81818,0.81250,0.70652,0.75581,69.37947s
100,10,9,0.99500,71,0.98795,1.00000,0.94737,0.97297,56.83358s,47,0.93407,0.94118,0.96970,0.95522,36.30661s,72,0.83550,0.83750,0.72826,0.77907,90.48955s
100,10,12,0.97500,59,0.98795,1.00000,0.94737,0.97297,81.66842s,16,0.84615,0.84211,0.96970,0.90141,57.64343s,54,0.83550,0.88571,0.67391,0.76543,133.59623s
100,10,12,0.98500,60,0.98795,1.00000,0.94737,0.97297,83.11955s,29,0.94505,0.92958,1.00000,0.96350,60.33008s,54,0.82251,0.83117,0.69565,0.75740,121.83154s
