Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
200,10,18,0.97000,112,1.00000,1.00000,1.00000,1.00000,905.49077s,20,0.91209,0.89189,1.00000,0.94286,685.28796s,86,0.87879,0.92105,0.76087,0.83333,1495.42620s
200,10,18,0.98000,126,1.00000,1.00000,1.00000,1.00000,917.33266s,30,0.92308,0.90411,1.00000,0.94964,700.36647s,99,0.87013,0.93056,0.72826,0.81707,1508.36542s
200,10,18,0.99000,141,1.00000,1.00000,1.00000,1.00000,912.09862s,85,0.96703,0.95652,1.00000,0.97778,738.11204s,116,0.90476,0.98611,0.77174,0.86585,1514.19117s
200,15,3,0.97000,113,1.00000,1.00000,1.00000,1.00000,136.50623s,20,0.91209,0.89189,1.00000,0.94286,43.06026s,99,0.86580,0.89610,0.75000,0.81657,270.36825s
200,15,3,0.98000,123,1.00000,1.00000,1.00000,1.00000,145.50775s,30,0.92308,0.90411,1.00000,0.94964,60.73354s,98,0.85281,0.88158,0.72826,0.79762,278.11045s
200,15,3,0.99000,137,1.00000,1.00000,1.00000,1.00000,148.03841s,85,0.96703,0.95652,1.00000,0.97778,115.95100s,116,0.90043,0.97260,0.77174,0.86061,293.61032s
200,15,6,0.97000,113,1.00000,1.00000,1.00000,1.00000,237.27163s,20,0.91209,0.89189,1.00000,0.94286,124.25408s,90,0.84416,0.85897,0.72826,0.78824,428.77255s
200,15,6,0.98000,125,1.00000,1.00000,1.00000,1.00000,248.34559s,30,0.92308,0.90411,1.00000,0.94964,143.94284s,101,0.87013,0.94286,0.71739,0.81481,446.55017s
200,15,6,0.99000,141,1.00000,1.00000,1.00000,1.00000,250.44229s,83,0.96703,0.95652,1.00000,0.97778,198.38607s,116,0.90043,0.97260,0.77174,0.86061,458.61558s
200,15,9,0.97000,113,1.00000,1.00000,1.00000,1.00000,406.30006s,20,0.91209,0.89189,1.00000,0.94286,264.55777s,107,0.88312,0.93333,0.76087,0.83832,722.59860s
200,15,9,0.98000,126,1.00000,1.00000,1.00000,1.00000,425.11734s,30,0.92308,0.90411,1.00000,0.94964,288.28764s,100,0.87879,0.92105,0.76087,0.83333,735.43434s
200,15,9,0.99000,141,1.00000,1.00000,1.00000,1.00000,424.41147s,86,0.96703,0.95652,1.00000,0.97778,342.30950s,116,0.90476,0.98611,0.77174,0.86585,742.19639s
200,15,12,0.97000,113,1.00000,1.00000,1.00000,1.00000,660.37351s,20,0.91209,0.89189,1.00000,0.94286,473.71042s,85,0.87879,0.92105,0.76087,0.83333,1122.04010s
200,15,12,0.98000,126,1.00000,1.00000,1.00000,1.00000,670.05777s,30,0.92308,0.90411,1.00000,0.94964,490.61147s,99,0.87013,0.93056,0.72826,0.81707,1136.71212s
200,15,12,0.99000,139,1.00000,1.00000,1.00000,1.00000,672.91533s,88,0.96703,0.95652,1.00000,0.97778,549.66451s,117,0.90476,0.98611,0.77174,0.86585,1156.55550s
200,15,15,0.97000,113,1.00000,1.00000,1.00000,1.00000,987.22468s,20,0.91209,0.89189,1.00000,0.94286,738.92390s,107,0.88312,0.93333,0.76087,0.83832,1671.74282s
200,15,15,0.98000,125,1.00000,1.00000,1.00000,1.00000,988.75377s,30,0.92308,0.90411,1.00000,0.94964,750.46306s,100,0.87879,0.92105,0.76087,0.83333,1657.28800s
200,15,15,0.99000,138,1.00000,1.00000,1.00000,1.00000,1002.27603s,81,0.96703,0.95652,1.00000,0.97778,816.90820s,116,0.90476,0.98611,0.77174,0.86585,1681.73656s
200,15,18,0.97000,112,1.00000,1.00000,1.00000,1.00000,1363.08544s,20,0.91209,0.89189,1.00000,0.94286,1046.39688s,86,0.87879,0.92105,0.76087,0.83333,2299.65223s
200,15,18,0.98000,126,1.00000,1.00000,1.00000,1.00000,1397.48693s,30,0.92308,0.90411,1.00000,0.94964,1086.56923s,100,0.87013,0.93056,0.72826,0.81707,2338.88752s
