Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,9,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,99.49295s,47,0.86093,0.86842,0.67347,0.75862,83.48495s,41,1.00000,1.00000,1.00000,1.00000,29.66538s
100,10,12,0.00000,0.97000,60,0.91393,0.90123,0.84884,0.87425,177.69046s,51,0.86755,0.87179,0.69388,0.77273,150.06504s,57,1.00000,1.00000,1.00000,1.00000,63.90812s
100,10,12,0.00000,0.98000,64,0.92213,0.90361,0.87209,0.88757,179.54181s,57,0.90066,0.90476,0.77551,0.83516,151.39682s,57,1.00000,1.00000,1.00000,1.00000,63.85227s
100,10,12,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,183.62687s,70,0.92715,0.95238,0.81633,0.87912,156.31024s,58,1.00000,1.00000,1.00000,1.00000,64.18869s
100,10,12,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,162.59977s,32,0.85430,0.84615,0.67347,0.75000,137.20674s,39,1.00000,1.00000,1.00000,1.00000,51.27531s
100,10,12,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,162.48164s,47,0.86755,0.87179,0.69388,0.77273,137.28545s,40,1.00000,1.00000,1.00000,1.00000,50.53681s
100,10,12,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,164.61580s,58,0.92715,0.95238,0.81633,0.87912,139.74797s,43,1.00000,1.00000,1.00000,1.00000,51.74071s
100,10,12,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,151.14910s,24,0.83444,0.83333,0.61224,0.70588,128.94591s,34,1.00000,1.00000,1.00000,1.00000,49.84951s
100,10,12,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,161.27869s,34,0.84768,0.86111,0.63265,0.72941,135.34983s,41,1.00000,1.00000,1.00000,1.00000,50.53134s
100,10,12,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,163.61068s,47,0.86093,0.86842,0.67347,0.75862,138.44731s,41,1.00000,1.00000,1.00000,1.00000,51.39007s
