Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.00000,0.97000,27,0.87705,0.90000,0.73256,0.80769,5.26692s,23,0.85430,0.84615,0.67347,0.75000,4.30340s,22,1.00000,1.00000,1.00000,1.00000,1.48087s
100,10,3,0.00000,0.98000,28,0.87705,0.90000,0.73256,0.80769,5.36276s,28,0.86755,0.85366,0.71429,0.77778,4.36834s,22,1.00000,1.00000,1.00000,1.00000,1.45772s
100,10,3,0.00000,0.99000,30,0.87705,0.90000,0.73256,0.80769,5.37336s,31,0.86755,0.85366,0.71429,0.77778,4.38826s,22,1.00000,1.00000,1.00000,1.00000,1.45203s
100,10,3,0.20000,0.97000,15,0.83607,0.85938,0.63953,0.73333,4.34579s,13,0.83444,0.90000,0.55102,0.68354,2.93457s,17,0.94737,1.00000,0.83333,0.90909,1.40112s
100,10,3,0.20000,0.98000,23,0.86885,0.88571,0.72093,0.79487,5.22157s,17,0.84768,0.84211,0.65306,0.73563,4.25641s,18,0.94737,1.00000,0.83333,0.90909,1.39104s
100,10,3,0.20000,0.99000,25,0.87705,0.88889,0.74419,0.81013,5.45082s,17,0.86093,0.85000,0.69388,0.76404,4.31995s,22,1.00000,1.00000,1.00000,1.00000,1.38510s
100,10,3,0.50000,0.97000,15,0.84426,0.86364,0.66279,0.75000,3.09177s,9,0.78146,0.69048,0.59184,0.63736,2.05780s,19,0.94737,1.00000,0.83333,0.90909,1.39129s
100,10,3,0.50000,0.98000,17,0.84426,0.85294,0.67442,0.75325,5.07607s,12,0.85430,0.86486,0.65306,0.74419,2.82058s,18,0.94737,1.00000,0.83333,0.90909,1.39416s
100,10,3,0.50000,0.99000,17,0.83607,0.80263,0.70930,0.75309,5.32632s,19,0.84106,0.82051,0.65306,0.72727,4.24853s,16,0.94737,1.00000,0.83333,0.90909,1.40325s
100,10,6,0.00000,0.97000,29,0.87705,0.91176,0.72093,0.80519,10.90948s,23,0.86093,0.85000,0.69388,0.76404,9.16514s,22,1.00000,1.00000,1.00000,1.00000,4.01321s
100,10,6,0.00000,0.98000,30,0.87705,0.91176,0.72093,0.80519,10.98277s,26,0.86093,0.85000,0.69388,0.76404,9.19309s,22,1.00000,1.00000,1.00000,1.00000,3.94317s
100,10,6,0.00000,0.99000,30,0.87705,0.91176,0.72093,0.80519,11.09778s,29,0.86755,0.85366,0.71429,0.77778,9.27248s,22,1.00000,1.00000,1.00000,1.00000,3.97819s
100,10,6,0.20000,0.97000,15,0.83607,0.85938,0.63953,0.73333,9.96272s,13,0.83444,0.90000,0.55102,0.68354,7.76393s,19,0.94737,1.00000,0.83333,0.90909,3.80986s
100,10,6,0.20000,0.98000,22,0.85246,0.86765,0.68605,0.76623,11.09730s,17,0.84768,0.84211,0.65306,0.73563,9.13257s,19,0.94737,1.00000,0.83333,0.90909,3.94999s
100,10,6,0.20000,0.99000,25,0.87705,0.88889,0.74419,0.81013,10.98506s,17,0.86093,0.85000,0.69388,0.76404,9.03909s,22,1.00000,1.00000,1.00000,1.00000,3.82092s
100,10,6,0.50000,0.97000,15,0.84426,0.86364,0.66279,0.75000,8.55727s,9,0.78146,0.69048,0.59184,0.63736,6.85981s,18,0.94737,1.00000,0.83333,0.90909,3.86622s
100,10,6,0.50000,0.98000,18,0.84016,0.82192,0.69767,0.75472,10.66419s,12,0.85430,0.86486,0.65306,0.74419,7.59186s,18,0.94737,1.00000,0.83333,0.90909,3.89463s
100,10,6,0.50000,0.99000,17,0.83607,0.80263,0.70930,0.75309,10.86974s,19,0.84106,0.82051,0.65306,0.72727,9.09676s,16,0.94737,1.00000,0.83333,0.90909,3.90904s
100,10,9,0.00000,0.97000,28,0.87705,0.90000,0.73256,0.80769,20.65174s,23,0.86093,0.85000,0.69388,0.76404,17.56060s,22,1.00000,1.00000,1.00000,1.00000,8.39203s
100,10,9,0.00000,0.98000,29,0.87705,0.91176,0.72093,0.80519,20.67816s,26,0.86093,0.85000,0.69388,0.76404,17.45519s,22,1.00000,1.00000,1.00000,1.00000,8.37353s
100,10,9,0.00000,0.99000,29,0.87705,0.91176,0.72093,0.80519,20.72801s,29,0.86755,0.85366,0.71429,0.77778,17.50287s,23,1.00000,1.00000,1.00000,1.00000,8.38801s
100,10,9,0.20000,0.97000,15,0.83607,0.85938,0.63953,0.73333,19.73928s,13,0.83444,0.90000,0.55102,0.68354,16.21882s,19,0.94737,1.00000,0.83333,0.90909,8.32543s
100,10,9,0.20000,0.98000,22,0.85246,0.86765,0.68605,0.76623,20.14972s,17,0.84768,0.84211,0.65306,0.73563,17.37124s,19,0.94737,1.00000,0.83333,0.90909,8.32911s
100,10,9,0.20000,0.99000,25,0.87705,0.88889,0.74419,0.81013,20.55648s,17,0.86093,0.85000,0.69388,0.76404,17.41975s,22,1.00000,1.00000,1.00000,1.00000,8.24308s
100,10,9,0.50000,0.97000,15,0.84426,0.86364,0.66279,0.75000,18.43376s,9,0.78146,0.69048,0.59184,0.63736,15.36811s,18,0.94737,1.00000,0.83333,0.90909,8.32165s
100,10,9,0.50000,0.98000,18,0.84016,0.82192,0.69767,0.75472,20.44072s,12,0.85430,0.86486,0.65306,0.74419,16.02604s,18,0.94737,1.00000,0.83333,0.90909,8.22578s
100,10,9,0.50000,0.99000,17,0.83607,0.80263,0.70930,0.75309,20.16783s,19,0.84106,0.82051,0.65306,0.72727,17.11286s,16,0.94737,1.00000,0.83333,0.90909,7.79452s
100,10,12,0.00000,0.97000,29,0.87705,0.91176,0.72093,0.80519,34.44682s,23,0.86093,0.85000,0.69388,0.76404,29.47306s,22,1.00000,1.00000,1.00000,1.00000,14.62913s
100,10,12,0.00000,0.98000,29,0.87705,0.90000,0.73256,0.80769,34.43089s,26,0.86093,0.85000,0.69388,0.76404,29.24042s,22,1.00000,1.00000,1.00000,1.00000,14.53705s
100,10,12,0.00000,0.99000,30,0.87705,0.91176,0.72093,0.80519,34.91059s,29,0.86755,0.85366,0.71429,0.77778,29.74860s,22,1.00000,1.00000,1.00000,1.00000,14.77474s
100,10,12,0.20000,0.97000,15,0.83607,0.85938,0.63953,0.73333,33.43885s,13,0.83444,0.90000,0.55102,0.68354,28.17482s,19,0.94737,1.00000,0.83333,0.90909,14.39636s
100,10,12,0.20000,0.98000,22,0.85246,0.86765,0.68605,0.76623,34.34642s,17,0.84768,0.84211,0.65306,0.73563,29.33064s,19,0.94737,1.00000,0.83333,0.90909,14.59210s
100,10,12,0.20000,0.99000,25,0.87705,0.88889,0.74419,0.81013,34.39761s,17,0.86093,0.85000,0.69388,0.76404,29.45146s,22,1.00000,1.00000,1.00000,1.00000,14.46199s
100,10,12,0.50000,0.97000,15,0.84426,0.86364,0.66279,0.75000,32.32828s,9,0.78146,0.69048,0.59184,0.63736,27.33438s,18,0.94737,1.00000,0.83333,0.90909,14.55542s
100,10,12,0.50000,0.98000,18,0.84016,0.82192,0.69767,0.75472,34.59451s,12,0.85430,0.86486,0.65306,0.74419,28.24182s,18,0.94737,1.00000,0.83333,0.90909,14.64699s
100,10,12,0.50000,0.99000,17,0.83607,0.80263,0.70930,0.75309,34.42916s,19,0.84106,0.82051,0.65306,0.72727,29.43784s,17,0.94737,1.00000,0.83333,0.90909,14.47981s
100,10,15,0.00000,0.97000,28,0.87705,0.91176,0.72093,0.80519,52.06237s,23,0.86093,0.85000,0.69388,0.76404,44.38112s,22,1.00000,1.00000,1.00000,1.00000,22.33248s
100,10,15,0.00000,0.98000,29,0.87705,0.91176,0.72093,0.80519,53.10042s,26,0.86093,0.85000,0.69388,0.76404,44.98500s,22,1.00000,1.00000,1.00000,1.00000,22.90850s
100,10,15,0.00000,0.99000,29,0.87705,0.91176,0.72093,0.80519,52.43474s,29,0.86755,0.85366,0.71429,0.77778,44.55242s,22,1.00000,1.00000,1.00000,1.00000,22.36880s
100,10,15,0.20000,0.97000,15,0.83607,0.85938,0.63953,0.73333,51.46238s,13,0.83444,0.90000,0.55102,0.68354,43.50197s,19,0.94737,1.00000,0.83333,0.90909,22.64934s
100,10,15,0.20000,0.98000,22,0.85246,0.86765,0.68605,0.76623,52.45465s,17,0.84768,0.84211,0.65306,0.73563,45.11893s,19,0.94737,1.00000,0.83333,0.90909,22.92479s
100,10,15,0.20000,0.99000,25,0.87705,0.88889,0.74419,0.81013,52.51025s,17,0.86093,0.85000,0.69388,0.76404,44.77079s,22,1.00000,1.00000,1.00000,1.00000,22.48768s
100,10,15,0.50000,0.97000,15,0.84426,0.86364,0.66279,0.75000,49.78230s,9,0.78146,0.69048,0.59184,0.63736,42.28713s,18,0.94737,1.00000,0.83333,0.90909,22.30417s
100,10,15,0.50000,0.98000,18,0.84016,0.82192,0.69767,0.75472,51.31948s,12,0.85430,0.86486,0.65306,0.74419,43.29286s,18,0.94737,1.00000,0.83333,0.90909,22.53704s
100,10,15,0.50000,0.99000,17,0.83607,0.80263,0.70930,0.75309,52.69104s,19,0.84106,0.82051,0.65306,0.72727,45.10864s,16,0.94737,1.00000,0.83333,0.90909,22.84679s
100,10,18,0.00000,0.97000,28,0.87705,0.90000,0.73256,0.80769,74.67132s,23,0.86093,0.85000,0.69388,0.76404,63.83480s,22,1.00000,1.00000,1.00000,1.00000,32.69003s
100,10,18,0.00000,0.98000,29,0.87705,0.90000,0.73256,0.80769,75.37854s,26,0.86093,0.85000,0.69388,0.76404,64.53984s,22,1.00000,1.00000,1.00000,1.00000,33.24197s
100,10,18,0.00000,0.99000,30,0.87705,0.91176,0.72093,0.80519,74.62022s,29,0.86755,0.85366,0.71429,0.77778,64.15672s,22,1.00000,1.00000,1.00000,1.00000,32.65481s
100,10,18,0.20000,0.97000,15,0.83607,0.85938,0.63953,0.73333,73.96414s,13,0.83444,0.90000,0.55102,0.68354,63.05604s,19,0.94737,1.00000,0.83333,0.90909,32.13857s
100,10,18,0.20000,0.98000,22,0.85246,0.86765,0.68605,0.76623,75.29230s,17,0.84768,0.84211,0.65306,0.73563,64.26705s,19,0.94737,1.00000,0.83333,0.90909,32.74937s
100,10,18,0.20000,0.99000,25,0.87705,0.88889,0.74419,0.81013,75.80749s,17,0.86093,0.85000,0.69388,0.76404,64.30652s,22,1.00000,1.00000,1.00000,1.00000,32.61424s
100,10,18,0.50000,0.97000,15,0.84426,0.86364,0.66279,0.75000,72.85886s,9,0.78146,0.69048,0.59184,0.63736,61.91493s,18,0.94737,1.00000,0.83333,0.90909,32.29544s
100,10,18,0.50000,0.98000,18,0.84016,0.82192,0.69767,0.75472,75.31212s,12,0.85430,0.86486,0.65306,0.74419,63.18342s,18,0.94737,1.00000,0.83333,0.90909,32.80440s
100,10,18,0.50000,0.99000,17,0.83607,0.80263,0.70930,0.75309,74.98710s,19,0.84106,0.82051,0.65306,0.72727,64.03142s,17,0.94737,1.00000,0.83333,0.90909,32.43302s
100,15,3,0.00000,0.97000,27,0.87705,0.90000,0.73256,0.80769,8.11866s,23,0.85430,0.84615,0.67347,0.75000,6.54834s,22,1.00000,1.00000,1.00000,1.00000,2.27824s
100,15,3,0.00000,0.98000,28,0.87705,0.90000,0.73256,0.80769,8.50285s,28,0.86755,0.85366,0.71429,0.77778,6.77938s,22,1.00000,1.00000,1.00000,1.00000,2.27012s
100,15,3,0.00000,0.99000,30,0.87705,0.90000,0.73256,0.80769,8.17379s,31,0.86755,0.85366,0.71429,0.77778,6.79370s,22,1.00000,1.00000,1.00000,1.00000,2.23887s
100,15,3,0.20000,0.97000,15,0.83607,0.85938,0.63953,0.73333,6.90633s,13,0.83444,0.90000,0.55102,0.68354,5.15469s,17,0.94737,1.00000,0.83333,0.90909,2.15465s
100,15,3,0.20000,0.98000,23,0.86885,0.88571,0.72093,0.79487,8.23798s,17,0.84768,0.84211,0.65306,0.73563,6.71061s,18,0.94737,1.00000,0.83333,0.90909,2.15425s
100,15,3,0.20000,0.99000,25,0.87705,0.88889,0.74419,0.81013,8.31610s,17,0.86093,0.85000,0.69388,0.76404,6.88582s,22,1.00000,1.00000,1.00000,1.00000,2.22087s
100,15,3,0.50000,0.97000,15,0.84426,0.86364,0.66279,0.75000,4.79399s,9,0.78146,0.69048,0.59184,0.63736,3.17209s,19,0.94737,1.00000,0.83333,0.90909,2.12193s
100,15,3,0.50000,0.98000,17,0.84426,0.85294,0.67442,0.75325,8.09128s,12,0.85430,0.86486,0.65306,0.74419,4.47396s,18,0.94737,1.00000,0.83333,0.90909,2.14803s
