Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,20,15,0.20000,0.97500,34,0.89344,0.94118,0.74419,0.83117,310.06492s,35,0.84768,0.86111,0.63265,0.72941,270.26284s,35,1.00000,1.00000,1.00000,1.00000,120.56963s
100,20,15,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,293.12280s,2,0.67550,-nan,0.00000,-nan,254.88530s,7,0.84211,0.80000,0.66667,0.72727,118.34223s
100,20,15,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,291.56695s,3,0.69536,1.00000,0.06122,0.11538,252.41708s,17,0.94737,1.00000,0.83333,0.90909,117.12782s
100,20,15,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,302.26037s,29,0.83444,0.80000,0.65306,0.71910,268.53832s,28,1.00000,1.00000,1.00000,1.00000,119.71961s
100,20,18,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,446.09751s,8,0.74834,0.65714,0.46939,0.54762,368.31181s,32,1.00000,1.00000,1.00000,1.00000,171.98192s
100,20,18,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,435.74408s,24,0.82781,0.82857,0.59184,0.69048,363.56864s,40,1.00000,1.00000,1.00000,1.00000,169.26407s
100,20,18,0.00000,0.97500,53,0.88934,0.89333,0.77907,0.83230,452.48809s,52,0.88079,0.87805,0.73469,0.80000,394.61771s,41,1.00000,1.00000,1.00000,1.00000,170.74429s
100,20,18,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,423.18423s,2,0.67550,-nan,0.00000,-nan,364.59208s,17,1.00000,1.00000,1.00000,1.00000,168.81310s
100,20,18,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,426.27770s,9,0.77483,0.67442,0.59184,0.63043,366.58659s,24,1.00000,1.00000,1.00000,1.00000,171.92423s
100,20,18,0.20000,0.97500,34,0.89344,0.94118,0.74419,0.83117,437.23779s,35,0.84768,0.86111,0.63265,0.72941,381.98172s,35,1.00000,1.00000,1.00000,1.00000,171.42061s
100,20,18,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,422.56739s,2,0.67550,-nan,0.00000,-nan,366.56868s,7,0.84211,0.80000,0.66667,0.72727,169.12677s
100,20,18,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,423.47599s,3,0.69536,1.00000,0.06122,0.11538,368.43210s,18,0.94737,1.00000,0.83333,0.90909,171.09688s
100,20,18,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,430.52454s,29,0.83444,0.80000,0.65306,0.71910,374.48521s,28,1.00000,1.00000,1.00000,1.00000,166.92023s
150,10,3,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,10.08882s,8,0.74834,0.65714,0.46939,0.54762,8.45116s,33,1.00000,1.00000,1.00000,1.00000,5.78905s
150,10,3,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,12.52034s,23,0.82781,0.82857,0.59184,0.69048,10.57630s,42,1.00000,1.00000,1.00000,1.00000,6.97976s
150,10,3,0.00000,0.97500,61,0.89754,0.89610,0.80233,0.84663,46.21471s,55,0.89404,0.88372,0.77551,0.82609,38.75939s,44,1.00000,1.00000,1.00000,1.00000,7.30066s
150,10,3,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,9.40208s,2,0.67550,-nan,0.00000,-nan,7.89434s,18,1.00000,1.00000,1.00000,1.00000,4.90586s
150,10,3,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,10.20310s,7,0.75497,0.65000,0.53061,0.58427,8.27666s,31,1.00000,1.00000,1.00000,1.00000,6.21382s
150,10,3,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,30.20660s,34,0.84768,0.86111,0.63265,0.72941,24.88197s,40,1.00000,1.00000,1.00000,1.00000,6.85381s
150,10,3,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,9.10260s,2,0.67550,-nan,0.00000,-nan,7.91227s,12,0.89474,1.00000,0.66667,0.80000,4.68053s
150,10,3,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,9.59604s,2,0.67550,-nan,0.00000,-nan,7.93480s,19,0.94737,1.00000,0.83333,0.90909,5.53067s
150,10,3,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,18.13091s,18,0.83444,0.81579,0.63265,0.71264,10.54189s,28,1.00000,1.00000,1.00000,1.00000,6.50196s
150,10,6,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,34.34504s,8,0.74834,0.65714,0.46939,0.54762,29.52024s,30,1.00000,1.00000,1.00000,1.00000,14.84422s
150,10,6,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,35.97653s,23,0.82781,0.82857,0.59184,0.69048,31.38748s,45,1.00000,1.00000,1.00000,1.00000,16.24424s
150,10,6,0.00000,0.97500,56,0.89754,0.89610,0.80233,0.84663,68.40542s,56,0.89404,0.88372,0.77551,0.82609,60.34565s,43,1.00000,1.00000,1.00000,1.00000,16.60965s
150,10,6,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,32.53822s,2,0.67550,-nan,0.00000,-nan,28.44234s,17,0.94737,0.85714,1.00000,0.92308,14.05570s
150,10,6,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,33.28992s,7,0.75497,0.65000,0.53061,0.58427,28.57396s,32,1.00000,1.00000,1.00000,1.00000,15.62088s
150,10,6,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,53.41097s,34,0.84768,0.86111,0.63265,0.72941,45.00982s,40,1.00000,1.00000,1.00000,1.00000,16.16702s
150,10,6,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,32.19562s,2,0.67550,-nan,0.00000,-nan,28.19108s,13,0.84211,0.80000,0.66667,0.72727,13.95239s
150,10,6,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,32.35520s,2,0.67550,-nan,0.00000,-nan,28.13751s,17,1.00000,1.00000,1.00000,1.00000,14.77425s
150,10,6,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,41.70002s,18,0.83444,0.81579,0.63265,0.71264,31.02401s,29,1.00000,1.00000,1.00000,1.00000,16.01777s
150,10,9,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,76.96257s,8,0.74834,0.65714,0.46939,0.54762,67.01946s,32,1.00000,1.00000,1.00000,1.00000,30.47724s
150,10,9,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,78.67977s,23,0.82781,0.82857,0.59184,0.69048,68.53682s,44,1.00000,1.00000,1.00000,1.00000,33.09197s
150,10,9,0.00000,0.97500,56,0.89754,0.89610,0.80233,0.84663,107.88920s,57,0.89404,0.88372,0.77551,0.82609,95.36548s,43,1.00000,1.00000,1.00000,1.00000,32.80201s
150,10,9,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,73.38064s,2,0.67550,-nan,0.00000,-nan,63.99076s,17,0.94737,0.85714,1.00000,0.92308,30.21672s
150,10,9,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,74.45370s,7,0.75497,0.65000,0.53061,0.58427,64.79387s,32,1.00000,1.00000,1.00000,1.00000,32.23731s
150,10,9,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,93.34125s,34,0.84768,0.86111,0.63265,0.72941,80.12851s,40,1.00000,1.00000,1.00000,1.00000,32.22453s
150,10,9,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,73.83076s,2,0.67550,-nan,0.00000,-nan,64.40397s,13,0.84211,0.80000,0.66667,0.72727,30.54401s
150,10,9,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,73.61534s,2,0.67550,-nan,0.00000,-nan,63.91063s,17,1.00000,1.00000,1.00000,1.00000,30.78773s
150,10,9,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,82.57450s,18,0.83444,0.81579,0.63265,0.71264,66.55618s,28,1.00000,1.00000,1.00000,1.00000,32.06630s
150,10,12,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,140.15996s,8,0.74834,0.65714,0.46939,0.54762,119.64184s,31,1.00000,1.00000,1.00000,1.00000,54.72778s
150,10,12,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,141.84976s,23,0.82781,0.82857,0.59184,0.69048,121.95786s,38,1.00000,1.00000,1.00000,1.00000,55.59735s
150,10,12,0.00000,0.97500,57,0.89754,0.89610,0.80233,0.84663,167.63701s,56,0.89404,0.88372,0.77551,0.82609,145.38143s,43,1.00000,1.00000,1.00000,1.00000,56.27932s
150,10,12,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,132.15022s,2,0.67550,-nan,0.00000,-nan,115.45133s,18,0.94737,0.85714,1.00000,0.92308,53.50677s
