Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,3,0.89000,7,0.77869,0.86364,0.44186,0.58462,4.77701s,9,0.77483,0.72727,0.48980,0.58537,4.23986s,22,1.00000,1.00000,1.00000,1.00000,2.33812s
100,10,3,0.95000,26,0.84016,0.84058,0.67442,0.74839,8.07670s,20,0.86755,0.87179,0.69388,0.77273,7.41661s,29,1.00000,1.00000,1.00000,1.00000,2.87759s
100,10,3,0.99000,52,0.88115,0.90141,0.74419,0.81529,24.60126s,41,0.86093,0.86842,0.67347,0.75862,9.89215s,29,1.00000,1.00000,1.00000,1.00000,2.95451s
100,10,3,0.89000,5,0.75820,0.66667,0.62791,0.64671,4.55768s,2,0.67550,-nan,0.00000,-nan,3.88704s,18,0.89474,0.83333,0.83333,0.83333,2.10063s
100,10,3,0.95000,13,0.79918,0.82456,0.54651,0.65734,6.23417s,10,0.82119,0.86667,0.53061,0.65823,4.54130s,22,1.00000,1.00000,1.00000,1.00000,2.64203s
100,10,3,0.99000,31,0.86066,0.86111,0.72093,0.78481,11.57340s,29,0.87417,0.94118,0.65306,0.77108,9.46313s,26,1.00000,1.00000,1.00000,1.00000,2.62450s
100,10,3,0.89000,4,0.75410,0.79545,0.40698,0.53846,4.51314s,2,0.67550,-nan,0.00000,-nan,3.83930s,9,0.84211,0.80000,0.66667,0.72727,2.00242s
100,10,3,0.95000,7,0.77869,0.86364,0.44186,0.58462,5.02559s,6,0.76159,0.64444,0.59184,0.61702,4.03078s,17,1.00000,1.00000,1.00000,1.00000,2.45431s
100,10,3,0.99000,25,0.84016,0.81333,0.70930,0.75776,11.31886s,23,0.82781,0.81081,0.61224,0.69767,9.44910s,25,1.00000,1.00000,1.00000,1.00000,2.61426s
100,10,6,0.89000,7,0.77869,0.86364,0.44186,0.58462,15.89299s,9,0.77483,0.72727,0.48980,0.58537,14.47755s,23,1.00000,1.00000,1.00000,1.00000,5.77383s
100,10,6,0.95000,25,0.84426,0.82432,0.70930,0.76250,18.92765s,21,0.85430,0.88571,0.63265,0.73810,17.02550s,29,1.00000,1.00000,1.00000,1.00000,6.21853s
100,10,6,0.99000,52,0.88115,0.90141,0.74419,0.81529,35.88942s,40,0.86093,0.86842,0.67347,0.75862,19.51518s,29,1.00000,1.00000,1.00000,1.00000,6.40725s
100,10,6,0.89000,5,0.75820,0.66667,0.62791,0.64671,14.98453s,2,0.67550,-nan,0.00000,-nan,12.88030s,17,0.89474,0.83333,0.83333,0.83333,5.44154s
100,10,6,0.95000,13,0.79918,0.82456,0.54651,0.65734,17.14136s,10,0.82119,0.86667,0.53061,0.65823,14.28443s,22,1.00000,1.00000,1.00000,1.00000,6.03304s
100,10,6,0.99000,31,0.86066,0.86111,0.72093,0.78481,22.67778s,29,0.87417,0.94118,0.65306,0.77108,19.35885s,26,1.00000,1.00000,1.00000,1.00000,6.16538s
100,10,6,0.89000,4,0.75410,0.79545,0.40698,0.53846,15.76717s,2,0.67550,-nan,0.00000,-nan,13.76486s,9,0.84211,0.80000,0.66667,0.72727,5.51981s
100,10,6,0.95000,7,0.77869,0.86364,0.44186,0.58462,16.35796s,6,0.76159,0.64444,0.59184,0.61702,14.04404s,17,0.89474,0.83333,0.83333,0.83333,6.09985s
100,10,6,0.99000,25,0.84016,0.81333,0.70930,0.75776,22.42868s,23,0.82781,0.81081,0.61224,0.69767,19.40003s,25,1.00000,1.00000,1.00000,1.00000,6.09881s
100,10,9,0.89000,7,0.77869,0.86364,0.44186,0.58462,34.82572s,9,0.77483,0.72727,0.48980,0.58537,30.67048s,23,1.00000,1.00000,1.00000,1.00000,11.23327s
100,10,9,0.95000,25,0.84426,0.82432,0.70930,0.76250,38.56042s,21,0.85430,0.88571,0.63265,0.73810,34.78054s,30,1.00000,1.00000,1.00000,1.00000,12.50209s
100,10,9,0.99000,52,0.88115,0.90141,0.74419,0.81529,54.52616s,40,0.86093,0.86842,0.67347,0.75862,36.62977s,29,1.00000,1.00000,1.00000,1.00000,12.37322s
100,10,9,0.89000,5,0.75820,0.66667,0.62791,0.64671,35.39731s,2,0.67550,-nan,0.00000,-nan,31.32392s,17,0.89474,0.83333,0.83333,0.83333,11.78071s
100,10,9,0.95000,13,0.79918,0.82456,0.54651,0.65734,36.52152s,10,0.82119,0.86667,0.53061,0.65823,31.44413s,22,1.00000,1.00000,1.00000,1.00000,12.14015s
100,10,9,0.99000,31,0.86066,0.86111,0.72093,0.78481,41.96340s,29,0.87417,0.94118,0.65306,0.77108,36.35656s,26,1.00000,1.00000,1.00000,1.00000,12.15826s
100,10,9,0.89000,4,0.75410,0.79545,0.40698,0.53846,34.94303s,2,0.67550,-nan,0.00000,-nan,30.97056s,9,0.84211,0.80000,0.66667,0.72727,11.58662s
