Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.87500,19,0.52335,9.66753s,35,0.92414,13.10427s,49,1.00000,4.24349s
100,10,3,0.00000,0.92500,47,0.59429,16.30352s,46,0.92689,13.32911s,54,1.00000,17.38097s
100,10,3,0.00000,0.97500,51,0.59161,28.26991s,49,0.92777,14.19254s,51,1.00000,16.06871s
100,10,3,0.20000,0.87500,11,0.46457,8.22535s,24,0.87871,11.95961s,56,0.99749,4.18236s
100,10,3,0.20000,0.92500,31,0.51260,14.36521s,35,0.89016,12.87827s,55,0.99850,4.12140s
100,10,3,0.20000,0.97500,54,0.58496,16.12445s,41,0.90332,13.24821s,48,0.99794,4.34613s
100,10,3,0.50000,0.87500,10,0.44656,7.17120s,17,0.80438,11.65872s,26,0.98643,3.78643s
100,10,3,0.50000,0.92500,13,0.48204,12.80020s,26,0.81938,12.54735s,33,0.99048,3.93137s
100,10,3,0.50000,0.97500,46,0.55336,15.97051s,36,0.82896,13.11737s,54,0.99235,4.22040s
100,10,6,0.00000,0.87500,20,0.52436,26.80043s,40,0.92491,26.54948s,49,1.00000,10.40228s
100,10,6,0.00000,0.92500,45,0.59334,31.41845s,52,0.92997,38.86198s,51,1.00000,22.94273s
100,10,6,0.00000,0.97500,48,0.59523,32.76184s,44,0.92693,26.73158s,50,1.00000,10.68095s
100,10,6,0.20000,0.87500,11,0.46457,23.74048s,20,0.87782,25.36447s,49,0.99799,10.11255s
100,10,6,0.20000,0.92500,26,0.53667,29.96225s,34,0.89066,26.40089s,53,0.99789,10.32599s
100,10,6,0.20000,0.97500,53,0.56855,31.46517s,44,0.89444,26.72695s,52,0.99844,10.22234s
100,10,6,0.50000,0.87500,10,0.44656,22.74512s,22,0.82088,25.27837s,28,0.98732,10.02512s
100,10,6,0.50000,0.92500,13,0.48204,28.40575s,31,0.81418,26.05134s,53,0.98051,10.19100s
100,10,6,0.50000,0.97500,40,0.55168,31.14328s,43,0.83550,26.41076s,58,0.99434,10.22770s
100,10,9,0.00000,0.87500,20,0.52433,54.46046s,39,0.92455,49.08040s,44,1.00000,21.06196s
100,10,9,0.00000,0.92500,46,0.58246,58.88591s,49,0.92970,50.39962s,53,1.00000,34.21197s
100,10,9,0.00000,0.97500,56,0.59908,72.01010s,43,0.92610,50.21445s,51,1.00000,33.89301s
100,10,9,0.20000,0.87500,11,0.46457,51.00210s,30,0.88452,48.60887s,44,0.99749,20.93266s
100,10,9,0.20000,0.92500,25,0.53142,56.90347s,37,0.89195,49.63786s,56,0.99831,21.04387s
100,10,9,0.20000,0.97500,57,0.58021,58.28665s,42,0.90527,49.88223s,53,0.99841,20.05564s
100,10,9,0.50000,0.87500,10,0.44656,49.97228s,20,0.80412,48.98364s,27,0.98699,20.72784s
100,10,9,0.50000,0.92500,25,0.51818,56.18606s,25,0.81016,49.52279s,45,0.97923,20.99945s
100,10,9,0.50000,0.97500,44,0.54998,59.25673s,41,0.83698,50.77622s,53,0.99287,21.51414s
100,10,12,0.00000,0.87500,21,0.52609,94.73938s,43,0.92580,83.51258s,50,1.00000,36.83268s
100,10,12,0.00000,0.92500,50,0.59612,97.70505s,49,0.92945,84.11672s,53,1.00000,49.76109s
100,10,12,0.00000,0.97500,50,0.59085,97.94007s,44,0.92616,84.01819s,53,1.00000,48.99139s
100,10,12,0.20000,0.87500,11,0.46457,89.80147s,23,0.88172,82.05470s,49,0.99824,36.44314s
100,10,12,0.20000,0.92500,31,0.54277,95.02248s,37,0.89013,82.38410s,55,0.99850,36.20276s
100,10,12,0.20000,0.97500,58,0.58841,97.55011s,36,0.89170,83.97201s,52,0.99837,37.03589s
100,10,12,0.50000,0.87500,10,0.44656,88.92627s,19,0.80762,82.69786s,27,0.98697,36.69029s
100,10,12,0.50000,0.92500,29,0.53163,94.49062s,31,0.82140,82.89548s,43,0.98144,36.33940s
100,10,12,0.50000,0.97500,42,0.47836,97.32102s,39,0.83920,84.62024s,59,0.99288,36.71726s
100,10,15,0.00000,0.87500,21,0.52609,145.26961s,40,0.92533,126.21723s,48,1.00000,56.55038s
100,10,15,0.00000,0.92500,47,0.59331,145.86083s,46,0.92841,125.38197s,53,1.00000,69.24573s
100,10,15,0.00000,0.97500,55,0.59869,159.92149s,46,0.92685,126.64653s,51,1.00000,68.97965s
100,10,15,0.20000,0.87500,11,0.46457,140.47067s,25,0.88029,126.16408s,52,0.99772,55.99833s
100,10,15,0.20000,0.92500,32,0.55306,146.99852s,34,0.89119,127.66345s,54,0.99796,56.43773s
100,10,15,0.20000,0.97500,57,0.58659,147.26026s,39,0.89324,127.17641s,53,0.99830,56.68118s
100,10,15,0.50000,0.87500,10,0.44656,137.82651s,23,0.79629,124.88791s,27,0.98697,55.89238s
100,10,15,0.50000,0.92500,29,0.52927,145.61029s,28,0.81785,127.39947s,51,0.98081,56.15493s
100,10,15,0.50000,0.97500,41,0.53845,146.68995s,43,0.84124,126.76165s,54,0.99288,56.40080s
100,10,18,0.00000,0.87500,21,0.52609,209.45178s,42,0.92633,180.92014s,49,1.00000,81.99533s
100,10,18,0.00000,0.92500,51,0.59382,218.43359s,47,0.92849,178.70253s,53,1.00000,92.95235s
