Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,18,0.20000,0.95000,21,0.38069,74.09579s,20,0.64010,63.28271s,34,0.98839,32.53318s
100,10,18,0.20000,0.99000,28,0.39373,75.02601s,24,0.64093,64.12937s,26,0.98838,32.78341s
100,10,18,0.50000,0.90000,5,0.28082,73.21590s,15,0.53810,62.75234s,16,0.82874,32.52268s
100,10,18,0.50000,0.95000,8,0.31643,73.81540s,21,0.54297,63.64178s,22,0.95874,32.74085s
100,10,18,0.50000,0.99000,27,0.38424,75.49410s,26,0.60248,64.23503s,31,0.96505,33.08920s
100,15,3,0.00000,0.90000,15,0.33401,4.31917s,22,0.65715,6.49335s,25,1.00000,2.23806s
100,15,3,0.00000,0.95000,30,0.39489,8.19848s,29,0.66272,6.53973s,26,1.00000,2.26013s
100,15,3,0.00000,0.99000,32,0.39851,8.41398s,31,0.66577,6.77703s,25,1.00000,2.26281s
100,15,3,0.20000,0.90000,7,0.30124,3.89715s,20,0.58153,6.17937s,27,0.98319,2.11688s
100,15,3,0.20000,0.95000,14,0.33395,6.84646s,24,0.64085,6.62549s,26,0.98335,2.15355s
100,15,3,0.20000,0.99000,30,0.39225,8.50309s,27,0.64104,6.63939s,25,0.98838,2.17993s
100,15,3,0.50000,0.90000,5,0.28082,3.62128s,13,0.53562,5.06993s,15,0.85847,2.14285s
100,15,3,0.50000,0.95000,7,0.29837,4.43136s,20,0.58445,6.44695s,20,0.95248,2.17562s
100,15,3,0.50000,0.99000,22,0.38447,8.20023s,22,0.60717,6.58088s,34,0.96505,2.28620s
100,15,6,0.00000,0.90000,16,0.35700,14.38483s,21,0.60623,13.95876s,25,1.00000,6.15193s
100,15,6,0.00000,0.95000,30,0.39466,17.04722s,29,0.66265,14.02343s,26,1.00000,6.24142s
100,15,6,0.00000,0.99000,32,0.39851,17.17901s,31,0.66776,14.13998s,25,1.00000,6.14895s
100,15,6,0.20000,0.90000,8,0.31842,13.07114s,17,0.57769,13.90161s,33,0.98838,6.16831s
100,15,6,0.20000,0.95000,25,0.37168,16.94698s,22,0.64077,14.03327s,29,0.98838,6.02522s
100,15,6,0.20000,0.99000,30,0.39440,17.06079s,25,0.64091,14.38345s,25,0.98838,5.98866s
100,15,6,0.50000,0.90000,5,0.28082,12.42320s,13,0.53562,12.11029s,17,0.86207,5.96127s
100,15,6,0.50000,0.95000,8,0.31643,14.59592s,22,0.54153,13.88136s,23,0.97191,6.12213s
100,15,6,0.50000,0.99000,24,0.38003,16.82001s,25,0.60429,13.96845s,29,0.97203,6.01455s
100,15,9,0.00000,0.90000,16,0.35700,30.15057s,21,0.61586,27.04794s,25,1.00000,13.08734s
100,15,9,0.00000,0.95000,31,0.39629,32.08540s,27,0.66264,27.06151s,26,1.00000,12.91462s
100,15,9,0.00000,0.99000,32,0.39851,32.24012s,30,0.66577,27.04110s,25,1.00000,12.93831s
100,15,9,0.20000,0.90000,8,0.31842,28.32016s,20,0.58476,26.85161s,32,0.98838,12.96998s
100,15,9,0.20000,0.95000,22,0.38089,31.63689s,22,0.64126,26.99776s,34,0.98839,12.75493s
100,15,9,0.20000,0.99000,30,0.39440,31.89147s,27,0.64083,26.92781s,29,0.98838,12.92282s
100,15,9,0.50000,0.90000,5,0.28082,27.56362s,13,0.53562,25.09605s,17,0.88172,12.74458s
100,15,9,0.50000,0.95000,8,0.31643,29.78689s,21,0.59340,26.82975s,23,0.97194,12.80799s
100,15,9,0.50000,0.99000,25,0.38439,32.07588s,23,0.60209,27.18013s,30,0.97194,12.95751s
100,15,12,0.00000,0.90000,16,0.35700,52.45821s,24,0.65794,45.38063s,25,1.00000,22.57722s
100,15,12,0.00000,0.95000,30,0.39386,53.75950s,29,0.66265,45.28059s,26,1.00000,22.45585s
100,15,12,0.00000,0.99000,32,0.39851,53.93106s,31,0.66776,45.54654s,25,1.00000,22.64377s
100,15,12,0.20000,0.90000,8,0.31842,50.32194s,19,0.57851,45.49636s,35,0.98838,22.51067s
100,15,12,0.20000,0.95000,20,0.38030,53.22317s,20,0.64018,45.53214s,31,0.98350,22.38473s
100,15,12,0.20000,0.99000,27,0.37253,53.80017s,25,0.64096,45.39210s,25,0.98839,22.60661s
100,15,12,0.50000,0.90000,5,0.28082,49.05915s,15,0.53810,43.56842s,16,0.82874,22.45488s
100,15,12,0.50000,0.95000,8,0.31643,51.93182s,20,0.58549,45.59636s,22,0.95960,22.82153s
100,15,12,0.50000,0.99000,22,0.37892,54.28347s,23,0.60209,45.99458s,33,0.96491,21.72196s
100,15,15,0.00000,0.90000,16,0.35700,81.74098s,22,0.61103,70.11876s,25,1.00000,35.75199s
100,15,15,0.00000,0.95000,29,0.39126,81.44733s,27,0.66264,69.07264s,26,1.00000,34.85368s
100,15,15,0.00000,0.99000,32,0.39851,81.26881s,31,0.66776,69.45852s,25,1.00000,34.86241s
100,15,15,0.20000,0.90000,8,0.31842,76.22134s,18,0.57984,68.87702s,29,0.98837,33.32491s
100,15,15,0.20000,0.95000,23,0.38014,82.08008s,21,0.59716,69.54880s,28,0.98335,35.25049s
100,15,15,0.20000,0.99000,28,0.37253,81.92523s,24,0.64093,69.28977s,28,0.98839,34.53493s
100,15,15,0.50000,0.90000,5,0.28082,77.84925s,15,0.53810,68.06109s,17,0.88172,35.44411s
100,15,15,0.50000,0.95000,8,0.31643,79.36538s,20,0.55198,69.14257s,22,0.97176,35.20198s
100,15,15,0.50000,0.99000,24,0.38717,82.57034s,25,0.60949,70.15770s,31,0.96505,35.58505s
100,15,18,0.00000,0.90000,16,0.35700,117.70676s,19,0.59826,98.99052s,25,1.00000,50.69846s
100,15,18,0.00000,0.95000,28,0.39220,116.76863s,29,0.66265,98.95779s,26,1.00000,51.25929s
100,15,18,0.00000,0.99000,32,0.39851,117.51557s,31,0.66776,100.30499s,25,1.00000,51.86811s
100,15,18,0.20000,0.90000,8,0.31842,113.35634s,20,0.58473,98.10568s,33,0.98335,50.03693s
100,15,18,0.20000,0.95000,25,0.37990,117.39947s,20,0.64010,99.91945s,34,0.98839,50.75053s
100,15,18,0.20000,0.99000,28,0.39373,116.39816s,24,0.64081,98.62536s,26,0.98838,49.85287s
100,15,18,0.50000,0.90000,5,0.28082,113.68551s,15,0.53810,98.45759s,16,0.82874,50.82671s
100,15,18,0.50000,0.95000,8,0.31643,113.76997s,21,0.54297,97.72482s,22,0.95874,49.99289s
100,15,18,0.50000,0.99000,27,0.38424,116.64192s,26,0.60248,99.22664s,30,0.96420,50.58639s
100,20,3,0.00000,0.90000,15,0.33401,5.81728s,22,0.65715,8.83230s,25,1.00000,3.06859s
100,20,3,0.00000,0.95000,30,0.39466,10.99540s,29,0.66272,8.86206s,26,1.00000,3.09200s
100,20,3,0.00000,0.99000,32,0.39851,11.51808s,31,0.66776,9.28956s,25,1.00000,3.08420s
100,20,3,0.20000,0.90000,7,0.30124,5.33626s,20,0.58153,8.43613s,27,0.98319,2.87829s
100,20,3,0.20000,0.95000,14,0.33395,9.77968s,24,0.64085,8.85080s,26,0.98335,2.91955s
100,20,3,0.20000,0.99000,30,0.39225,11.15307s,27,0.64104,9.14200s,25,0.98838,2.92905s
100,20,3,0.50000,0.90000,5,0.28082,4.79488s,13,0.53562,6.89512s,15,0.85847,2.88020s
100,20,3,0.50000,0.95000,7,0.29837,5.96452s,20,0.58445,8.66420s,20,0.95248,2.92388s
100,20,3,0.50000,0.99000,22,0.38447,10.96570s,22,0.60717,8.92576s,34,0.96505,3.00608s
