Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.90000,43,0.61702,28.34556s,58,0.92977,37.34367s,65,1.00000,22.30626s
100,10,3,0.00000,0.95000,61,0.65861,44.13518s,58,0.93339,37.98030s,64,1.00000,22.99197s
100,10,3,0.00000,0.99000,57,0.64986,43.96947s,64,0.93273,39.97865s,68,1.00000,22.96020s
100,10,3,0.20000,0.90000,21,0.56703,26.09943s,32,0.89353,22.88305s,64,0.99913,6.82736s
100,10,3,0.20000,0.95000,62,0.64030,29.16076s,50,0.90606,24.03377s,61,0.99896,6.80920s
100,10,3,0.20000,0.99000,52,0.64148,30.19168s,55,0.90412,23.71464s,63,0.99914,6.83553s
100,10,3,0.50000,0.90000,12,0.47560,17.47984s,22,0.80938,22.45689s,29,0.97032,6.27530s
100,10,3,0.50000,0.95000,43,0.61138,28.88296s,38,0.84375,24.02193s,77,0.99397,7.22737s
100,10,3,0.50000,0.99000,51,0.62520,30.06482s,54,0.85544,24.06739s,63,0.99423,6.70240s
100,10,6,0.00000,0.90000,53,0.64884,66.83178s,53,0.93041,57.76594s,63,1.00000,30.91684s
100,10,6,0.00000,0.95000,57,0.63930,69.01326s,57,0.93528,59.56144s,62,1.00000,30.67313s
100,10,6,0.00000,0.99000,56,0.64836,70.05164s,64,0.93442,61.20277s,62,1.00000,30.30291s
100,10,6,0.20000,0.90000,32,0.57467,52.38930s,35,0.89358,44.41971s,64,0.99644,15.17923s
100,10,6,0.20000,0.95000,61,0.65123,54.99030s,48,0.89866,45.42612s,65,0.99892,15.37752s
100,10,6,0.20000,0.99000,57,0.64268,55.90937s,51,0.90840,46.78442s,61,0.99912,15.45873s
100,10,6,0.50000,0.90000,12,0.47560,43.70190s,27,0.81606,44.31346s,32,0.97682,14.87944s
100,10,6,0.50000,0.95000,46,0.62434,53.17552s,31,0.82512,44.59436s,84,0.99576,15.30749s
100,10,6,0.50000,0.99000,51,0.62295,55.38437s,51,0.84295,46.07567s,65,0.99515,15.53774s
100,10,9,0.00000,0.90000,53,0.64059,111.45348s,52,0.92906,94.19191s,61,1.00000,45.89046s
100,10,9,0.00000,0.95000,56,0.64248,112.39668s,48,0.92758,82.84395s,63,1.00000,44.57706s
100,10,9,0.00000,0.99000,58,0.64943,114.23096s,59,0.93246,98.06630s,53,1.00000,42.55775s
100,10,9,0.20000,0.90000,35,0.59169,95.97218s,31,0.89441,81.72601s,67,0.99709,29.72338s
100,10,9,0.20000,0.95000,53,0.61640,98.59690s,46,0.89434,82.44375s,67,0.99916,29.97341s
100,10,9,0.20000,0.99000,64,0.64868,99.17518s,53,0.90271,83.35830s,64,0.99904,29.41708s
100,10,9,0.50000,0.90000,12,0.47560,88.39733s,42,0.83403,82.74629s,32,0.97682,29.66780s
100,10,9,0.50000,0.95000,37,0.59050,98.03515s,35,0.83915,83.27554s,75,0.99525,30.25288s
100,10,9,0.50000,0.99000,59,0.64091,100.09138s,50,0.84811,83.83101s,77,0.99539,29.80345s
100,10,12,0.00000,0.90000,48,0.62212,163.24936s,47,0.92495,136.06741s,61,1.00000,65.53886s
100,10,12,0.00000,0.95000,59,0.65279,177.50626s,58,0.93092,150.29147s,60,1.00000,65.18522s
100,10,12,0.00000,0.99000,58,0.64943,177.56398s,64,0.93255,152.05630s,61,1.00000,64.60055s
100,10,12,0.20000,0.90000,33,0.59435,160.02559s,37,0.89577,137.37256s,55,0.99716,51.20422s
100,10,12,0.20000,0.95000,57,0.64244,163.05982s,41,0.88783,137.80462s,73,0.99918,51.62185s
100,10,12,0.20000,0.99000,62,0.64175,163.83383s,51,0.91154,138.52948s,62,0.99919,50.97967s
100,10,12,0.50000,0.90000,12,0.47560,150.91287s,26,0.82163,136.06114s,33,0.97667,50.35300s
100,10,12,0.50000,0.95000,41,0.61725,160.72692s,38,0.85373,136.08475s,74,0.99445,50.62956s
100,10,12,0.50000,0.99000,48,0.61841,163.29927s,51,0.84690,137.97642s,65,0.99497,51.24379s
100,10,15,0.00000,0.90000,55,0.64948,258.87924s,52,0.93173,217.15341s,58,1.00000,91.69054s
100,10,15,0.00000,0.95000,60,0.64303,259.84245s,51,0.92722,218.61029s,59,1.00000,93.02736s
100,10,15,0.00000,0.99000,59,0.65254,258.63968s,64,0.93469,222.23455s,57,1.00000,90.77713s
100,10,15,0.20000,0.90000,26,0.53289,242.09922s,38,0.88875,205.55222s,57,0.99863,77.92750s
100,10,15,0.20000,0.95000,56,0.65093,244.68892s,46,0.88707,205.55179s,68,0.99900,78.31007s
100,10,15,0.20000,0.99000,55,0.64301,244.55183s,54,0.90790,206.51927s,68,0.99897,77.38796s
100,10,15,0.50000,0.90000,12,0.47560,233.01569s,38,0.82559,204.89050s,33,0.97667,76.61108s
100,10,15,0.50000,0.95000,42,0.61591,241.36257s,32,0.82396,204.70185s,74,0.99332,77.65042s
100,10,15,0.50000,0.99000,52,0.61850,246.99833s,54,0.84657,208.03143s,58,0.99231,78.08198s
100,10,18,0.00000,0.90000,55,0.64796,359.31879s,45,0.92531,290.07298s,57,1.00000,124.94026s
