Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,3,0.00000,0.89000,23,0.45230,7.94848s,34,0.88934,9.29833s,33,1.00000,3.01324s
100,10,3,0.00000,0.95000,38,0.50719,12.31658s,40,0.85657,10.18281s,33,1.00000,3.24786s
100,10,3,0.00000,0.99000,43,0.50255,12.63956s,41,0.88766,10.14500s,35,1.00000,3.15589s
100,10,3,0.20000,0.89000,14,0.42910,7.04587s,20,0.75035,8.16963s,43,0.97766,2.67089s
100,10,3,0.20000,0.95000,25,0.47571,11.30080s,29,0.78566,9.41359s,39,0.98321,2.76595s
100,10,3,0.20000,0.99000,43,0.50407,12.17047s,38,0.83435,10.10387s,34,0.98311,2.85760s
100,10,3,0.50000,0.89000,13,0.40850,6.15167s,15,0.63215,7.70332s,19,0.89921,2.40376s
100,10,3,0.50000,0.95000,18,0.42869,11.23734s,26,0.70206,9.34606s,25,0.91478,2.60026s
100,10,3,0.50000,0.99000,35,0.47523,11.72541s,34,0.77511,10.06289s,51,0.97835,2.77897s
100,10,6,0.00000,0.89000,25,0.48053,20.77906s,29,0.88726,19.09957s,33,1.00000,6.43385s
100,10,6,0.00000,0.95000,42,0.50521,23.18843s,41,0.85657,19.49397s,33,1.00000,6.51029s
100,10,6,0.00000,0.99000,42,0.50437,23.38055s,41,0.89190,19.50344s,34,1.00000,6.53354s
100,10,6,0.20000,0.89000,16,0.43767,19.32691s,30,0.75886,18.64865s,38,0.99298,6.25032s
100,10,6,0.20000,0.95000,29,0.47768,22.66357s,35,0.79478,19.29800s,39,0.99465,6.33967s
100,10,6,0.20000,0.99000,46,0.50350,23.29152s,37,0.83184,19.90980s,38,0.98307,6.31678s
100,10,6,0.50000,0.89000,12,0.40636,18.33133s,17,0.63229,17.75866s,20,0.92268,5.91655s
100,10,6,0.50000,0.95000,24,0.46451,22.55200s,28,0.71328,19.28190s,39,0.92637,6.16662s
100,10,6,0.50000,0.99000,41,0.48323,23.47496s,35,0.79529,20.25371s,39,0.96514,6.27670s
100,10,9,0.00000,0.89000,25,0.48053,40.31478s,29,0.88598,35.94637s,32,1.00000,12.27944s
100,10,9,0.00000,0.95000,43,0.50951,42.77611s,40,0.85657,36.58507s,33,1.00000,12.56169s
100,10,9,0.00000,0.99000,44,0.50874,43.22684s,40,0.88787,37.05136s,33,1.00000,12.84826s
100,10,9,0.20000,0.89000,16,0.43767,38.43158s,27,0.74300,35.40132s,33,0.98866,12.19357s
100,10,9,0.20000,0.95000,30,0.48451,42.17923s,36,0.79478,36.43582s,43,0.99465,12.43720s
100,10,9,0.20000,0.99000,43,0.50240,42.72921s,35,0.83221,36.87365s,37,0.98973,12.40610s
100,10,9,0.50000,0.89000,12,0.40636,37.77286s,16,0.62702,34.88748s,21,0.92309,11.88991s
100,10,9,0.50000,0.95000,26,0.46464,42.23239s,29,0.71338,36.39123s,49,0.94199,12.17793s
100,10,9,0.50000,0.99000,39,0.48339,43.16514s,37,0.77821,37.14144s,41,0.97835,12.39370s
100,10,12,0.00000,0.89000,25,0.48053,68.74285s,33,0.88790,60.74813s,33,1.00000,21.23475s
100,10,12,0.00000,0.95000,42,0.50954,70.36266s,39,0.85657,60.52935s,32,1.00000,20.87571s
100,10,12,0.00000,0.99000,42,0.50319,71.17655s,40,0.89190,61.03684s,33,1.00000,20.95418s
100,10,12,0.20000,0.89000,16,0.43767,66.63791s,26,0.75964,60.28855s,39,0.98896,20.75675s
100,10,12,0.20000,0.95000,33,0.49473,70.32452s,29,0.78377,61.00919s,40,0.99465,20.92756s
100,10,12,0.20000,0.99000,41,0.50170,70.15159s,35,0.83221,61.02616s,35,0.98307,20.70664s
100,10,12,0.50000,0.89000,12,0.40636,65.88432s,15,0.63265,59.69756s,19,0.88148,20.51251s
100,10,12,0.50000,0.95000,23,0.45507,69.79274s,27,0.71053,60.81929s,46,0.97238,20.76047s
100,10,12,0.50000,0.99000,39,0.48296,70.63155s,32,0.78842,61.79800s,37,0.93296,21.06221s
100,10,15,0.00000,0.89000,25,0.48053,105.14550s,37,0.88836,92.46395s,34,1.00000,32.72621s
100,10,15,0.00000,0.95000,41,0.50546,106.71664s,45,0.89255,92.46400s,31,1.00000,32.14356s
100,10,15,0.00000,0.99000,43,0.50712,107.09944s,40,0.88787,93.33342s,34,1.00000,32.80068s
100,10,15,0.20000,0.89000,16,0.43767,103.66985s,31,0.76198,92.58188s,40,0.98544,32.58304s
100,10,15,0.20000,0.95000,32,0.48974,107.15345s,34,0.76747,93.41513s,33,0.99416,32.72423s
100,10,15,0.20000,0.99000,41,0.50199,107.41104s,36,0.83216,93.90080s,34,0.98955,32.57168s
100,10,15,0.50000,0.89000,11,0.40635,98.11750s,15,0.63265,90.90651s,18,0.88036,31.55254s
100,10,15,0.50000,0.95000,23,0.43902,106.41278s,27,0.71053,93.12551s,48,0.96238,32.29066s
100,10,15,0.50000,0.99000,41,0.48534,106.81192s,36,0.79566,93.07435s,40,0.93296,32.18700s
100,10,18,0.00000,0.89000,25,0.48053,149.10675s,33,0.88832,130.48203s,34,1.00000,45.79530s
100,10,18,0.00000,0.95000,38,0.50521,148.92230s,41,0.85658,130.27259s,34,1.00000,45.60066s
100,10,18,0.00000,0.99000,43,0.50563,150.55513s,40,0.88787,131.28348s,34,1.00000,45.84304s
100,10,18,0.20000,0.89000,16,0.43767,148.65696s,25,0.75647,132.18378s,43,0.98986,46.26960s
100,10,18,0.20000,0.95000,32,0.49441,150.16359s,34,0.78570,131.30482s,36,0.99442,45.88164s
100,10,18,0.20000,0.99000,40,0.50188,148.07863s,36,0.86168,130.75797s,35,0.99424,45.42357s
100,10,18,0.50000,0.89000,12,0.40636,145.63112s,15,0.63265,129.40465s,18,0.88036,45.04197s
100,10,18,0.50000,0.95000,25,0.46020,150.22253s,27,0.71053,130.93386s,35,0.93701,45.78433s
100,10,18,0.50000,0.99000,38,0.48268,152.08790s,35,0.78785,133.89092s,45,0.94324,46.63398s
100,15,3,0.00000,0.89000,23,0.45230,12.62402s,34,0.88934,14.64656s,33,1.00000,4.44293s
100,15,3,0.00000,0.95000,38,0.50719,18.80907s,44,0.89281,15.41901s,33,1.00000,4.70513s
100,15,3,0.00000,0.99000,48,0.50690,19.51020s,47,0.89459,15.31332s,35,1.00000,4.47981s
100,15,3,0.20000,0.89000,14,0.42910,10.98663s,20,0.75035,13.00616s,43,0.97766,4.22149s
100,15,3,0.20000,0.95000,25,0.47571,17.68121s,33,0.78701,14.88554s,41,0.98311,4.17771s
100,15,3,0.20000,0.99000,43,0.50230,18.53182s,38,0.86336,15.21661s,35,0.98305,4.40414s
100,15,3,0.50000,0.89000,13,0.40850,9.56966s,15,0.63215,12.19498s,19,0.89921,3.72718s
100,15,3,0.50000,0.95000,18,0.42869,17.48109s,26,0.70206,14.54355s,26,0.91478,3.97164s
100,15,3,0.50000,0.99000,35,0.47523,17.91802s,36,0.79491,15.17137s,51,0.97835,4.28334s
100,15,6,0.00000,0.89000,25,0.48053,32.20779s,29,0.88726,29.87181s,33,1.00000,9.91593s
100,15,6,0.00000,0.95000,41,0.50521,35.96571s,45,0.85800,30.77030s,33,1.00000,9.91866s
100,15,6,0.00000,0.99000,43,0.50685,36.37895s,39,0.88764,30.32695s,34,1.00000,9.67077s
100,15,6,0.20000,0.89000,16,0.43767,30.15959s,30,0.75886,29.14565s,38,0.99298,9.55355s
100,15,6,0.20000,0.95000,29,0.47768,35.07715s,34,0.79505,29.78729s,41,0.99465,9.69705s
100,15,6,0.20000,0.99000,47,0.50325,35.65348s,39,0.83683,30.59772s,37,0.98307,9.66026s
100,15,6,0.50000,0.89000,12,0.40636,28.44133s,17,0.63229,27.59778s,20,0.92268,9.08944s
100,15,6,0.50000,0.95000,24,0.46451,35.00340s,28,0.71328,29.87707s,39,0.92637,9.48421s
100,15,6,0.50000,0.99000,39,0.48470,35.60223s,34,0.79529,30.64501s,38,0.96085,9.58410s
100,15,9,0.00000,0.89000,25,0.48053,62.60208s,35,0.88826,55.96801s,33,1.00000,19.06793s
100,15,9,0.00000,0.95000,43,0.50521,66.14288s,45,0.85672,56.82981s,33,1.00000,19.19929s
100,15,9,0.00000,0.99000,43,0.50938,66.01292s,42,0.88808,56.98048s,33,1.00000,18.95043s
100,15,9,0.20000,0.89000,16,0.43767,60.37607s,27,0.74300,56.12022s,33,0.98866,18.90365s
