Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,18,0.20000,0.99950,25,0.99995,13.83193s,57,0.98771,169.54940s,8,0.87036,16.28741s
100,10,18,0.20000,0.99970,39,0.99999,14.36600s,53,0.98650,168.81164s,23,1.00000,16.51788s
100,10,18,0.50000,0.99930,20,0.98389,14.76591s,43,0.97682,171.31834s,21,0.99959,16.78448s
100,10,18,0.50000,0.99950,22,0.99938,13.97263s,45,0.97913,168.21049s,27,1.00000,16.73074s
100,10,18,0.50000,0.99970,41,0.99996,14.30478s,48,0.98465,168.25114s,35,1.00000,17.10222s
100,15,3,0.00000,0.99930,23,1.00000,1.47461s,67,0.99140,26.60703s,4,0.83964,1.21548s
100,15,3,0.00000,0.99950,29,1.00000,1.90760s,72,0.99191,28.40224s,5,0.96228,1.39215s
100,15,3,0.00000,0.99970,39,1.00000,1.99699s,77,0.99191,30.01771s,15,1.00000,1.29628s
100,15,3,0.20000,0.99930,15,0.97618,1.11543s,63,0.98988,10.78948s,8,0.95653,1.18481s
100,15,3,0.20000,0.99950,23,0.99570,1.32661s,58,0.98996,10.41271s,7,0.50342,1.10823s
100,15,3,0.20000,0.99970,33,0.99999,1.68100s,55,0.98664,10.70268s,22,1.00000,1.16314s
100,15,3,0.50000,0.99930,16,0.99347,1.16428s,56,0.98277,10.66897s,18,0.99922,1.10697s
100,15,3,0.50000,0.99950,20,0.99978,1.78710s,59,0.98656,10.63943s,23,1.00000,1.21035s
100,15,3,0.50000,0.99970,39,0.99996,1.79960s,63,0.98538,10.50817s,34,1.00000,1.62174s
100,15,6,0.00000,0.99930,23,1.00000,3.13918s,61,0.99062,44.88272s,4,0.83964,3.49814s
100,15,6,0.00000,0.99950,30,1.00000,3.47484s,71,0.99059,46.85975s,6,0.96341,3.43569s
100,15,6,0.00000,0.99970,36,1.00000,3.70461s,75,0.99191,49.25536s,14,1.00000,3.48970s
100,15,6,0.20000,0.99930,14,0.99453,3.04546s,65,0.98942,30.49614s,9,0.99124,3.01827s
100,15,6,0.20000,0.99950,21,0.99990,2.94705s,58,0.99028,30.15947s,7,0.77900,3.09667s
100,15,6,0.20000,0.99970,34,0.99999,3.43781s,60,0.98662,29.99905s,23,1.00000,3.22179s
100,15,6,0.50000,0.99930,18,0.99052,2.88894s,49,0.98257,31.06045s,19,0.99986,3.14580s
100,15,6,0.50000,0.99950,21,0.99955,3.39213s,57,0.98689,30.34649s,25,1.00000,3.37392s
100,15,6,0.50000,0.99970,34,0.99996,3.46206s,60,0.98535,30.40406s,36,1.00000,3.59933s
100,15,9,0.00000,0.99930,23,1.00000,5.96395s,69,0.99129,82.27062s,4,0.83964,7.16160s
100,15,9,0.00000,0.99950,32,1.00000,6.38819s,78,0.99129,84.81782s,6,0.96991,6.79233s
100,15,9,0.00000,0.99970,36,1.00000,6.63931s,77,0.99212,85.82974s,14,1.00000,7.30299s
100,15,9,0.20000,0.99930,14,0.98105,5.50622s,63,0.99026,65.23070s,7,0.85581,6.41738s
100,15,9,0.20000,0.99950,23,0.99995,5.75591s,53,0.98480,65.64937s,6,0.65688,6.48572s
100,15,9,0.20000,0.99970,36,1.00000,6.22651s,63,0.98909,65.84203s,23,1.00000,6.67893s
100,15,9,0.50000,0.99930,18,0.99903,5.77935s,53,0.97915,65.94753s,19,0.99930,6.49984s
100,15,9,0.50000,0.99950,20,0.99946,6.25185s,57,0.98605,66.10779s,30,1.00000,6.80137s
100,15,9,0.50000,0.99970,36,0.99996,6.20397s,54,0.98836,66.62933s,56,1.00000,7.02828s
100,15,12,0.00000,0.99930,24,1.00000,10.11473s,70,0.99166,131.97393s,4,0.83964,12.39135s
100,15,12,0.00000,0.99950,29,1.00000,10.27132s,69,0.98987,132.83469s,5,0.96228,12.07756s
