Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,18,0.20000,0.99950,15,0.93314,8.19520s,47,0.98011,107.47525s,10,0.19980,8.96265s
100,10,18,0.20000,0.99970,29,0.94229,8.48048s,44,0.97920,108.79324s,16,0.98026,8.96919s
100,10,18,0.50000,0.99930,14,0.90273,8.14677s,45,0.97769,108.01771s,15,0.95815,8.87754s
100,10,18,0.50000,0.99950,18,0.91279,8.22302s,45,0.97727,109.06967s,20,0.98024,9.07972s
100,10,18,0.50000,0.99970,30,0.92561,8.27536s,44,0.97723,107.93916s,23,0.97833,9.10730s
100,15,3,0.00000,0.99930,17,0.99926,0.90240s,51,0.98167,19.18669s,3,0.01479,0.81479s
100,15,3,0.00000,0.99950,19,0.99926,1.10952s,54,0.98167,20.49520s,6,0.89298,0.88478s
100,15,3,0.00000,0.99970,25,0.99926,1.15317s,55,0.98167,20.52133s,7,0.72184,0.82399s
100,15,3,0.20000,0.99930,14,0.93850,0.70605s,51,0.98017,6.51649s,4,0.24125,0.72733s
100,15,3,0.20000,0.99950,18,0.94100,0.85415s,50,0.98038,6.51001s,11,0.98909,0.66896s
100,15,3,0.20000,0.99970,28,0.93772,0.98644s,53,0.98081,6.58163s,17,0.97976,0.85862s
100,15,3,0.50000,0.99930,14,0.91297,0.78544s,48,0.97725,6.53501s,14,0.95613,0.97462s
100,15,3,0.50000,0.99950,18,0.92285,0.89479s,45,0.97693,6.45394s,21,0.98014,0.78568s
100,15,3,0.50000,0.99970,30,0.92544,1.12142s,53,0.97766,6.69822s,24,0.97701,0.84237s
100,15,6,0.00000,0.99930,17,0.99926,1.85780s,48,0.98164,19.66858s,3,0.34261,2.06754s
100,15,6,0.00000,0.99950,19,0.99926,2.05306s,55,0.98167,31.64739s,6,0.94185,2.13540s
100,15,6,0.00000,0.99970,22,0.99926,2.06761s,57,0.98167,33.21917s,8,0.97505,1.90846s
100,15,6,0.20000,0.99930,13,0.86009,1.70726s,43,0.97952,19.45186s,4,-0.13091,1.69020s
100,15,6,0.20000,0.99950,14,0.93255,1.79296s,48,0.98058,19.30706s,9,0.20509,1.89454s
100,15,6,0.20000,0.99970,31,0.94216,1.95782s,53,0.98084,19.31139s,17,0.98011,2.36623s
100,15,6,0.50000,0.99930,13,0.90098,1.74249s,44,0.97582,19.37813s,14,0.90228,1.92314s
100,15,6,0.50000,0.99950,15,0.90733,1.85677s,46,0.97662,19.38460s,22,0.97823,2.08307s
100,15,6,0.50000,0.99970,30,0.92433,1.98124s,51,0.97723,19.40845s,23,0.97833,1.92606s
100,15,9,0.00000,0.99930,17,0.99926,3.44810s,49,0.98164,42.11505s,3,0.34261,3.89385s
100,15,9,0.00000,0.99950,19,0.99926,4.03257s,53,0.98167,55.22356s,6,0.94185,3.82560s
100,15,9,0.00000,0.99970,24,0.99926,4.27397s,54,0.98167,55.60372s,8,0.97505,3.72401s
100,15,9,0.20000,0.99930,13,0.86105,3.26158s,52,0.98015,41.43694s,3,-0.29522,3.65195s
100,15,9,0.20000,0.99950,15,0.93314,3.48813s,45,0.98000,42.09920s,10,0.19980,3.60563s
100,15,9,0.20000,0.99970,25,0.94089,3.74409s,51,0.98077,41.65427s,17,0.98011,3.88207s
100,15,9,0.50000,0.99930,14,0.90273,3.65149s,47,0.97537,41.74472s,15,0.95505,3.56287s
100,15,9,0.50000,0.99950,18,0.91279,3.47874s,42,0.97545,41.84032s,21,0.97920,3.67172s
100,15,9,0.50000,0.99970,25,0.92860,3.63336s,43,0.97692,42.02159s,23,0.97833,3.94286s
100,15,12,0.00000,0.99930,17,0.99926,5.83641s,48,0.98167,74.04471s,3,0.34261,6.30408s
100,15,12,0.00000,0.99950,19,0.99926,6.02888s,50,0.98167,73.78290s,7,0.94354,6.62839s
100,15,12,0.00000,0.99970,23,0.99926,6.04326s,54,0.98167,87.47526s,8,0.97505,6.54318s
100,15,12,0.20000,0.99930,14,0.86161,5.69976s,46,0.97993,73.62042s,5,-0.27590,6.18566s
100,15,12,0.20000,0.99950,15,0.93314,5.83014s,50,0.98021,73.43442s,10,0.19980,6.11621s
100,15,12,0.20000,0.99970,30,0.94110,6.13069s,51,0.98059,73.74350s,16,0.98026,6.34743s
100,15,12,0.50000,0.99930,14,0.90273,5.78164s,45,0.97720,74.11718s,14,0.90115,6.29200s
100,15,12,0.50000,0.99950,18,0.91279,5.86245s,40,0.97497,74.08727s,21,0.97920,6.27454s
100,15,12,0.50000,0.99970,30,0.92362,6.09290s,52,0.97773,74.54134s,23,0.97833,6.54152s
100,15,15,0.00000,0.99930,17,0.99926,8.90127s,48,0.98164,116.02201s,3,0.34261,10.20491s
100,15,15,0.00000,0.99950,19,0.99926,9.04211s,53,0.98167,128.04646s,6,0.94185,10.16927s
100,15,15,0.00000,0.99970,24,0.99926,8.96840s,59,0.98167,130.35180s,8,0.97505,10.05968s
100,15,15,0.20000,0.99930,14,0.86161,8.70153s,46,0.97799,116.03531s,5,-0.27590,10.25287s
100,15,15,0.20000,0.99950,15,0.93314,8.81380s,51,0.98080,115.86321s,10,0.19980,9.60192s
100,15,15,0.20000,0.99970,27,0.93914,9.05322s,45,0.97981,114.63300s,16,0.98026,9.85094s
100,15,15,0.50000,0.99930,15,0.90816,8.85479s,42,0.97624,115.99739s,15,0.95030,9.55748s
100,15,15,0.50000,0.99950,18,0.91279,8.98139s,45,0.97732,116.45246s,21,0.97871,9.92139s
100,15,15,0.50000,0.99970,26,0.92447,9.14646s,46,0.97683,116.43508s,23,0.97833,9.95067s
100,15,18,0.00000,0.99930,18,0.99926,12.80800s,49,0.98167,169.43924s,3,0.01479,14.49501s
100,15,18,0.00000,0.99950,20,0.99926,12.77256s,53,0.98167,179.04897s,6,0.94185,14.47089s
100,15,18,0.00000,0.99970,23,0.99926,12.81854s,57,0.98167,181.79851s,8,0.97505,14.59568s
100,15,18,0.20000,0.99930,14,0.86161,12.36401s,45,0.97951,167.43205s,5,-0.27590,13.86731s
100,15,18,0.20000,0.99950,15,0.93314,12.79866s,50,0.98031,167.18734s,10,0.19980,13.80704s
100,15,18,0.20000,0.99970,29,0.94229,12.87913s,45,0.98010,168.09140s,16,0.98026,13.90842s
100,15,18,0.50000,0.99930,14,0.90273,12.51010s,45,0.97769,166.78278s,15,0.95815,13.68668s
100,15,18,0.50000,0.99950,18,0.91279,12.66703s,45,0.97727,168.30675s,21,0.98025,14.03931s
100,15,18,0.50000,0.99970,30,0.92561,12.92317s,49,0.97752,167.03313s,23,0.97833,14.17057s
100,20,3,0.00000,0.99930,17,0.99926,1.75094s,51,0.98167,21.57004s,3,0.01479,0.98046s
100,20,3,0.00000,0.99950,19,0.99926,1.64913s,54,0.98167,21.33278s,6,0.89298,1.15301s
100,20,3,0.00000,0.99970,25,0.99926,1.55733s,57,0.98167,22.33480s,7,0.72184,1.01202s
100,20,3,0.20000,0.99930,14,0.93850,0.93071s,51,0.98017,8.70495s,4,0.24125,0.74926s
100,20,3,0.20000,0.99950,18,0.94100,1.11638s,50,0.98038,8.66982s,11,0.98909,0.78281s
100,20,3,0.20000,0.99970,28,0.93772,1.33813s,53,0.98081,8.68839s,17,0.97976,0.97140s
100,20,3,0.50000,0.99930,14,0.91297,1.03201s,48,0.97725,8.82202s,14,0.95613,0.83526s
100,20,3,0.50000,0.99950,18,0.92285,1.19091s,45,0.97693,8.73438s,21,0.98014,0.92986s
100,20,3,0.50000,0.99970,30,0.92544,1.26091s,49,0.97753,8.66823s,24,0.97701,1.21052s
100,20,6,0.00000,0.99930,17,0.99926,2.47594s,47,0.98167,26.02669s,3,0.34261,2.50541s
100,20,6,0.00000,0.99950,19,0.99926,2.72377s,55,0.98167,39.83623s,6,0.94185,2.54394s
100,20,6,0.00000,0.99970,22,0.99926,2.76760s,57,0.98167,39.69966s,8,0.97505,2.50611s
