Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,10,18,0.20000,0.99600,2,-0.04882,6.51734s,26,0.96486,70.59934s,2,-0.29522,7.00232s
100,10,18,0.20000,0.99980,21,0.94061,6.98635s,34,0.96916,69.92400s,18,0.98707,7.50718s
100,10,18,0.50000,0.99940,12,0.88235,6.72285s,33,0.96624,69.37074s,16,0.95331,7.47400s
100,10,18,0.50000,0.99600,2,-0.42541,6.58437s,18,0.95432,69.29462s,2,-1.74225,7.57333s
100,10,18,0.50000,0.99980,22,0.91844,7.42253s,30,0.96567,69.68834s,37,0.97144,7.60690s
100,15,3,0.00000,0.99940,15,0.99926,0.87428s,39,0.97071,4.30267s,5,0.89440,0.50739s
100,15,3,0.00000,0.99600,2,0.03096,0.56350s,31,0.96790,4.14708s,2,0.01479,0.45590s
100,15,3,0.00000,0.99980,20,0.99926,1.28919s,41,0.97071,4.78244s,13,1.00000,0.64184s
100,15,3,0.20000,0.99940,14,0.94098,0.53648s,32,0.96921,4.43857s,6,0.52626,0.50943s
100,15,3,0.20000,0.99600,2,-0.04882,0.52017s,25,0.96459,4.09737s,2,-0.29522,0.38700s
100,15,3,0.20000,0.99980,26,0.94020,0.71085s,36,0.96954,4.37947s,16,0.98057,0.82573s
100,15,3,0.50000,0.99940,14,0.91333,0.60327s,34,0.96586,4.31439s,14,0.95210,0.49366s
100,15,3,0.50000,0.99600,3,-0.26944,0.60793s,20,0.95248,4.06066s,2,-1.74225,0.39150s
100,15,3,0.50000,0.99980,24,0.91832,0.87760s,32,0.96626,4.50729s,20,0.97192,0.65989s
100,15,6,0.00000,0.99940,15,0.99926,1.48842s,38,0.97071,12.77991s,5,0.89440,1.46652s
100,15,6,0.00000,0.99600,2,0.03096,1.33993s,32,0.96910,12.33287s,2,0.01479,1.35103s
100,15,6,0.00000,0.99980,22,0.99926,1.67680s,40,0.97071,12.49046s,14,1.00000,1.45239s
100,15,6,0.20000,0.99940,12,0.93267,1.37441s,33,0.96934,12.64266s,10,0.70932,1.36921s
100,15,6,0.20000,0.99600,2,-0.04882,1.28090s,22,0.96326,12.38221s,2,-0.29522,1.22523s
100,15,6,0.20000,0.99980,25,0.94179,1.60735s,35,0.96954,12.82987s,18,0.98707,1.51797s
100,15,6,0.50000,0.99940,10,0.87437,1.39852s,31,0.96630,12.64974s,16,0.97206,1.36695s
100,15,6,0.50000,0.99600,2,-0.42541,1.23589s,18,0.95432,12.20512s,2,-1.74225,1.24139s
100,15,6,0.50000,0.99980,26,0.91832,1.52841s,31,0.96571,12.38784s,29,0.97192,1.47326s
100,15,9,0.00000,0.99940,16,0.99926,2.84869s,39,0.97071,27.46129s,5,0.89440,3.14342s
100,15,9,0.00000,0.99600,2,0.03096,2.67120s,31,0.97060,26.97626s,2,0.01479,2.79000s
100,15,9,0.00000,0.99980,22,0.99926,3.09398s,41,0.97071,27.09341s,13,1.00000,3.01802s
100,15,9,0.20000,0.99940,13,0.93657,3.21790s,33,0.96699,27.23665s,8,0.21548,2.87524s
100,15,9,0.20000,0.99600,2,-0.04882,2.54264s,24,0.96459,27.35981s,2,-0.29522,2.86164s
100,15,9,0.20000,0.99980,28,0.94198,3.06404s,36,0.96955,27.64051s,18,0.98707,3.14369s
100,15,9,0.50000,0.99940,11,0.87466,2.78043s,30,0.96597,27.53305s,16,0.95331,2.84249s
100,15,9,0.50000,0.99600,2,-0.42541,2.63734s,18,0.95432,27.02569s,2,-1.74225,2.72492s
100,15,9,0.50000,0.99980,24,0.91832,2.92003s,35,0.96614,27.28788s,35,0.97275,3.22529s
100,15,12,0.00000,0.99940,16,0.99926,4.77571s,34,0.97069,48.15242s,5,0.89440,5.21077s
100,15,12,0.00000,0.99600,2,0.03096,4.56648s,35,0.97069,47.78877s,2,0.01479,5.03865s
100,15,12,0.00000,0.99980,21,0.99926,4.98489s,41,0.97071,48.60870s,14,1.00000,5.22266s
100,15,12,0.20000,0.99940,13,0.93657,4.65083s,34,0.96947,49.04236s,8,0.21548,5.09797s
100,15,12,0.20000,0.99600,2,-0.04882,4.68745s,23,0.96258,47.62377s,2,-0.29522,4.85623s
100,15,12,0.20000,0.99980,25,0.94198,4.95019s,37,0.96963,48.73273s,18,0.98707,5.11232s
100,15,12,0.50000,0.99940,11,0.87466,4.74194s,30,0.96544,48.49600s,16,0.95331,4.96418s
100,15,12,0.50000,0.99600,2,-0.42541,4.56444s,18,0.95432,47.95033s,2,-1.74225,5.54576s
100,15,12,0.50000,0.99980,22,0.91832,4.88519s,33,0.96552,48.45313s,32,0.97968,5.46005s
100,15,15,0.00000,0.99940,16,0.99926,7.63989s,36,0.97071,75.56396s,5,0.89440,8.07138s
100,15,15,0.00000,0.99600,2,0.03096,7.64533s,31,0.96725,75.24302s,2,0.01479,7.69757s
100,15,15,0.00000,0.99980,21,0.99926,7.51187s,42,0.97071,74.90781s,14,1.00000,7.98372s
100,15,15,0.20000,0.99940,13,0.93657,7.26298s,32,0.96916,76.78086s,8,0.21548,7.89626s
100,15,15,0.20000,0.99600,2,-0.04882,7.00826s,22,0.96152,75.35502s,2,-0.29522,7.56057s
100,15,15,0.20000,0.99980,26,0.94177,7.54987s,37,0.96963,76.77457s,18,0.98707,7.95426s
100,15,15,0.50000,0.99940,12,0.88235,7.81593s,30,0.96616,72.36064s,16,0.95331,7.79029s
100,15,15,0.50000,0.99600,2,-0.42541,7.05740s,18,0.95432,75.73502s,2,-1.74225,7.53115s
100,15,15,0.50000,0.99980,23,0.91832,7.42639s,32,0.96573,75.48081s,33,0.97144,9.07233s
100,15,18,0.00000,0.99940,16,0.99926,10.65783s,36,0.97069,109.08634s,5,0.89440,11.54582s
100,15,18,0.00000,0.99600,2,0.03096,10.07724s,31,0.96790,109.28144s,2,0.01479,10.89469s
100,15,18,0.00000,0.99980,22,0.99926,10.64053s,42,0.97071,109.21473s,13,1.00000,11.28410s
100,15,18,0.20000,0.99940,13,0.93657,10.25661s,33,0.96934,108.70852s,8,0.21548,11.19992s
100,15,18,0.20000,0.99600,2,-0.04882,10.09335s,26,0.96486,108.53292s,2,-0.29522,10.92046s
100,15,18,0.20000,0.99980,21,0.94061,10.72190s,37,0.96955,110.40950s,18,0.98707,11.39678s
100,15,18,0.50000,0.99940,12,0.88235,10.42494s,33,0.96624,108.20223s,16,0.95331,11.53114s
100,15,18,0.50000,0.99600,2,-0.42541,10.14640s,18,0.95432,108.98512s,2,-1.74225,11.85603s
100,15,18,0.50000,0.99980,22,0.91844,10.58414s,32,0.96591,108.36879s,37,0.97144,12.87690s
100,20,3,0.00000,0.99940,15,0.99926,0.90155s,39,0.97071,5.77418s,5,0.89440,0.66669s
100,20,3,0.00000,0.99600,2,0.03096,0.71784s,31,0.96790,5.61249s,2,0.01479,0.61739s
100,20,3,0.00000,0.99980,20,0.99926,1.06360s,41,0.97071,5.70004s,13,1.00000,0.79405s
100,20,3,0.20000,0.99940,14,0.94098,0.73706s,32,0.96921,5.94326s,6,0.52626,0.66030s
100,20,3,0.20000,0.99600,2,-0.04882,0.62905s,25,0.96459,5.58730s,2,-0.29522,0.49793s
100,20,3,0.20000,0.99980,26,0.94020,0.97900s,34,0.96935,5.74332s,23,0.98112,0.93653s
100,20,3,0.50000,0.99940,14,0.91333,0.78579s,34,0.96586,5.69142s,14,0.95210,0.73191s
100,20,3,0.50000,0.99600,3,-0.26944,0.72165s,20,0.95248,5.46739s,2,-1.74225,0.51668s
